,question,answer,response,tokens,logprobs,mapping,response_answer,correct
470," A chef needs to cook 13 potatoes. He has already cooked 5. If each potato takes 6 minutes to cook, how long will it take him to cook the rest? ",48," The chef has already cooked 5 potatoes. He needs to cook 13 - 5 = 8 more. If each potato takes 6 minutes to cook, then 8 potatoes will take 8 * 6 = 48 minutes. The answer is 48.","[' The', ' chef', ' has', ' already', ' cooked', ' 5', ' potatoes', '.', ' He', ' needs', ' to', ' cook', ' 13', ' -', ' 5', ' =', ' 8', ' more', '.', ' If', ' each', ' potato', ' takes', ' 6', ' minutes', ' to', ' cook', ',', ' then', ' 8', ' potatoes', ' will', ' take', ' 8', ' *', ' 6', ' =', ' 48', ' minutes', '.', ' The', ' answer', ' is', ' 48', '.']","[-1.295148, -0.002744943, -0.20580961, -0.25489069999999997, -0.0022792714, -3.595572e-05, -0.011603203000000001, -0.21158929, -0.37830338, -0.09676724, -0.008329017000000001, -6.754697000000001e-05, -0.015592897000000001, -0.7227465, -7.3745825e-05, -0.017250685, -0.00013037558999999998, -0.060315560000000004, -0.37613758, -0.84995204, -0.023102717000000002, -0.01747078, -0.007418464400000001, -5.9321566000000005e-05, -5.912312e-06, -0.36306903, -1.2588937e-05, -0.0005321858000000001, -0.15610814, -0.56406146, -0.8250849, -0.00566209, -0.0015637131, -0.0057332464, -0.10984636, -1.1430257999999999e-06, -0.49319723, -8.5429216e-05, -0.0028656842, -0.40897173000000003, -0.0058702375, -0.00029641076, -1.7713980000000002e-05, -0.0006302908, -0.07297485000000001]",,48,1
471," A trivia team had 11 members total, but during a game 6 members didn't show up. If each member that did show up scored 9 points, how many points were scored total? ",45," If 11 members were supposed to be there, but 6 didn't show up, then 11 - 6 = 5 members showed up. If each of those 5 members scored 9 points, then the total score would be 9 * 5 = 45 points. The answer is 45.","[' If', ' 11', ' members', ' were', ' supposed', ' to', ' be', ' there', ',', ' but', ' 6', ' didn', ""'t"", ' show', ' up', ',', ' then', ' 11', ' -', ' 6', ' =', ' 5', ' members', ' showed', ' up', '.', ' If', ' each', ' of', ' those', ' 5', ' members', ' scored', ' 9', ' points', ',', ' then', ' the', ' total', ' score', ' would', ' be', ' 9', ' *', ' 5', ' =', ' 45', ' points', '.', ' The', ' answer', ' is', ' 45', '.']","[-1.4196353, -0.41810423, -0.04027084, -0.40959665, -0.27688345000000003, -1.4736571000000001e-05, -0.38956815, -0.09568862, -0.0017498680000000001, -0.62876266, -0.20649414, -0.43508273000000003, -4.2777349999999996e-07, -9.0318645e-05, -0.15137748, -1.0561456000000002e-05, -0.109690174, -0.5641986, -0.0037519597000000003, -1.4854846000000001e-05, -0.008353235, -1.9028084e-05, -0.0039688023, -0.3563805, -1.1430257999999999e-06, -3.869565e-05, -0.21776201, -0.00017937786, -0.46537809999999996, -0.020027384000000002, -0.039332610000000004, -0.058661990000000004, -0.0060226526, -1.8841804e-07, -8.058068499999999e-06, -0.0039859167, -0.022440752, -0.26179454, -0.043451395000000004, -0.25221893, -0.019378807, -0.00023738743, -0.46068364, -0.56409854, -4.0040345e-06, -0.011027199000000001, -2.7490969000000003e-05, -0.41967988, -0.00010057152999999999, -0.41715616, -6.051553000000001e-05, -1.1430257999999999e-06, -1.6207987e-06, -0.059963863000000006]",,45,1
472," Each chocolate bar in a box cost $2. If a box had 13 bars total and Rachel sold all but 4 bars, how much money would she have made? ",18," Rachel started with 13 chocolate bars. She sold all but 4, so she sold 13 - 4 = 9 chocolate bars. Each bar cost 2 dollars, so she made 9 * 2 = 18 dollars.","[' Rachel', ' started', ' with', ' 13', ' chocolate', ' bars', '.', ' She', ' sold', ' all', ' but', ' 4', ',', ' so', ' she', ' sold', ' 13', ' -', ' 4', ' =', ' 9', ' chocolate', ' bars', '.', ' Each', ' bar', ' cost', ' 2', ' dollars', ',', ' so', ' she', ' made', ' 9', ' *', ' 2', ' =', ' 18', ' dollars', '.']","[-1.245639, -0.9022279, -0.0015917101000000001, -9.365555000000001e-05, -0.32135549999999996, -1.5006569e-06, -0.47301453, -0.8645431, -0.0022591401000000002, -0.060819007, -0.0011952628, -0.00041196714, -0.66257364, -0.016366925, -0.0046669845000000005, -0.048155416000000006, -0.44101515, -0.00041327655, -0.0001476646, -0.010376718, -6.3900848e-06, -0.57017773, -2.6936819999999996e-06, -0.0024854608, -0.40023428, -0.37020376, -0.8104285, -0.36987349999999997, -0.0015565493, -0.06592711, -5.6460554e-05, -0.32486355, -0.14066637, -0.020441225, -0.13593666000000001, -2.0966954e-06, -0.05345484, -0.0009348115399999999, -0.00010247980399999999, -0.01501151]",,18,1
473," Isabel baked 3 brownies, but needed 5 total for her party. If she used 5 cups of flour on each one, how much cups of flour does she still need? ",10," Isabel needed 5 brownies, but only had 3. So she needs 5 - 3 = 2 more. If she used 5 cups of flour on each one, then she needs 2 x 5 = 10 more cups of flour. The answer is 10.","[' Isabel', ' needed', ' 5', ' brown', 'ies', ',', ' but', ' only', ' had', ' 3', '.', ' So', ' she', ' needs', ' 5', ' -', ' 3', ' =', ' 2', ' more', '.', ' If', ' she', ' used', ' 5', ' cups', ' of', ' flour', ' on', ' each', ' one', ',', ' then', ' she', ' needs', ' 2', ' x', ' 5', ' =', ' 10', ' more', ' cups', ' of', ' flour', '.', ' The', ' answer', ' is', ' 10', '.']","[-0.3277517, -1.2827423, -0.012013091, -0.54580516, -2.4510746e-05, -0.94210565, -0.002191637, -0.029548587, -0.05512733, -9.234426e-05, -0.0009897592, -0.3223754, -0.0011064683, -0.10219071, -0.09359684600000001, -0.0004636042, -1.4854846000000001e-05, -0.022509879, -4.8472640000000004e-05, -0.052432526, -0.31528809999999996, -0.7063598, -0.58586305, -0.39949748, -6.5092986e-06, -3.6074933e-05, -0.052524738, -5.3162735e-06, -0.40174052, -0.0017764984, -0.043103468000000006, -0.0025979814, -0.70220613, -0.013158717, -0.7483405999999999, -0.10299633, -0.62698466, -1.8841804e-07, -0.15677468, -7.818712999999999e-06, -0.54015565, -0.009519221000000001, -0.013633108000000001, -1.2622394999999999e-06, -0.0023908159, -0.02208178, -7.97072e-05, -7.854046699999999e-07, -1.5094201e-05, -0.0024781092]",,10,1
474," A worksheet had 3 problems on it. If a teacher had 15 worksheets to grade and had already graded 7 of them, how many more problems does she have to grade? ",24," Each worksheet has 3 problems. So if the teacher has graded 7 worksheets, she has graded 7 * 3 = 21 problems. If she has 15 worksheets to grade in total, that means she has 15 * 3 = 45 problems to grade in total. So she has 45 - 21 = 24 more problems to grade. The answer is 24.","[' Each', ' works', 'heet', ' has', ' 3', ' problems', '.', ' So', ' if', ' the', ' teacher', ' has', ' graded', ' 7', ' works', 'he', 'ets', ',', ' she', ' has', ' graded', ' 7', ' *', ' 3', ' =', ' 21', ' problems', '.', ' If', ' she', ' has', ' 15', ' works', 'he', 'ets', ' to', ' grade', ' in', ' total', ',', ' that', ' means', ' she', ' has', ' 15', ' *', ' 3', ' =', ' 45', ' problems', ' to', ' grade', ' in', ' total', '.', ' So', ' she', ' has', ' 45', ' -', ' 21', ' =', ' 24', ' more', ' problems', ' to', ' grade', '.', ' The', ' answer', ' is', ' 24', '.']","[-0.66373795, -0.008457644, -0.00022695525999999998, -0.06734165, -0.0033433507, -0.00022230238999999997, -0.16954105, -0.6074275, -0.17922208, -0.38550738, -7.97072e-05, -0.019120868000000003, -0.25471961, -1.1514188000000001e-05, -0.053523317, -4.9586424e-06, -1.8841804e-07, -0.0015840704, -0.40426126, -0.021242019, -0.010032284, -0.07288331, -0.059526257000000006, -4.2777349999999996e-07, -0.03956605, -2.4390605000000004e-05, -0.0040773028, -0.016456297, -0.29238972, -0.0002603966, -0.005422286, -0.00087658426, -0.0030172274, -4.2433903e-06, -4.2777349999999996e-07, -0.6045752999999999, -4.46589e-05, -0.32537267000000003, -1.022884e-06, -4.2777349999999996e-07, -0.50890565, -0.42069036, -0.019376619, -0.032973614000000005, -0.006376508, -1.6207987e-06, -1.8841804e-07, -0.00021681878, -1.3823811999999999e-06, -0.0011625, -0.027916957000000003, -2.9041616000000004e-05, -0.014837148000000001, -3.2906587e-06, -1.5006569e-06, -0.06346866500000001, -0.00040403461999999996, -0.0040800557, -0.006050239000000001, -4.2433903e-06, -2.9756868000000002e-05, -0.0007528626000000001, -3.5477948000000006e-05, -0.46917015, -4.048565e-05, -0.0003334368, -6.0993300000000004e-05, -0.00011022837999999999, -0.06533798, -1.5925843e-05, -1.022884e-06, -2.7013197000000003e-05, -0.00028257692]",,24,1
475," At lunch a waiter had 7 customers and 4 of them didn't leave a tip. If he got $9 each from the ones who did tip, how much money did he earn? ",27, The waiter had 7 customers. 4 of them did not leave a tip. So that means 3 of them did leave a tip. 3 * 9 is 27. The answer is 27.,"[' The', ' waiter', ' had', ' 7', ' customers', '.', ' 4', ' of', ' them', ' did', ' not', ' leave', ' a', ' tip', '.', ' So', ' that', ' means', ' 3', ' of', ' them', ' did', ' leave', ' a', ' tip', '.', ' 3', ' *', ' 9', ' is', ' 27', '.', ' The', ' answer', ' is', ' 27', '.']","[-0.6516649999999999, -0.002261528, -0.15615916, -0.0025224474000000003, -0.0002131233, -0.3838965, -0.5601092, -0.119895734, -0.001657501, -0.38607234, -4.179789000000001e-05, -0.03350372, -0.0028698698, -6.742775400000001e-05, -0.5738196, -0.68453234, -0.9718462999999999, -0.19636519, -0.3236618, -0.1759179, -0.0006985241, -0.0025398377, -0.2311198, -0.0009090991, -4.835342800000001e-05, -0.00018665240000000002, -0.6143582, -0.79087895, -0.0037633867000000003, -0.5464745, -0.0008832665, -0.010254528, -0.04896898, -0.00079157815, -2.0966954e-06, -0.00035442502, -0.0005682056]",,27,1
476," April's discount flowers was having a sale where each rose was 9 dollars. If April started with 11 roses and had 8 roses left, how much money did she earn? ",27, April started with 11 roses. She had 8 roses left. So she sold 11 - 8 = 3 roses. Each rose was 9 dollars. So she earned 3 * 9 = 27 dollars. The answer is 27.,"[' April', ' started', ' with', ' 11', ' roses', '.', ' She', ' had', ' 8', ' roses', ' left', '.', ' So', ' she', ' sold', ' 11', ' -', ' 8', ' =', ' 3', ' roses', '.', ' Each', ' rose', ' was', ' 9', ' dollars', '.', ' So', ' she', ' earned', ' 3', ' *', ' 9', ' =', ' 27', ' dollars', '.', ' The', ' answer', ' is', ' 27', '.']","[-0.70885104, -0.10174459, -0.0026634813, -8.268835e-05, -0.0006834935, -0.29079488000000003, -1.284857, -0.6436926, -0.0002202777, -0.45271248000000003, -0.01734863, -0.3164511, -0.9682803999999999, -0.12411544000000001, -0.60218716, -0.082027495, -0.007835827, -2.5583630000000002e-05, -0.18067867, -0.00010486491999999999, -0.0024536105, -0.0029583992, -0.7193997, -0.002292236, -0.1650583, -0.047229785, -0.0005107761, -0.075700924, -0.42247394, -0.33342773000000003, -0.038270064, -0.4063468, -0.68750566, -8.7733215e-06, -0.23521289, -0.00015636964, -0.020696705000000003, -0.007432276000000001, -0.1645845, -5.8725527000000006e-05, -1.4139594000000001e-05, -1.8073477000000003e-05, -0.012131214000000001]",,27,1
477," Tom bought 14 boxes of chocolate candy and gave 8 to his little brother. If each box has 3 pieces inside it, how many pieces did Tom still have? ",18, Tom bought 14 boxes of chocolate candy. Each box has 3 pieces. So 14 boxes will be 3 x 14 = 42 pieces. But he gave 8 away to his little brother. So he has 42 - 8 = 34 pieces left. The answer is 34.,"[' Tom', ' bought', ' 14', ' boxes', ' of', ' chocolate', ' candy', '.', ' Each', ' box', ' has', ' 3', ' pieces', '.', ' So', ' 14', ' boxes', ' will', ' be', ' 3', ' x', ' 14', ' =', ' 42', ' pieces', '.', ' But', ' he', ' gave', ' 8', ' away', ' to', ' his', ' little', ' brother', '.', ' So', ' he', ' has', ' 42', ' -', ' 8', ' =', ' 34', ' pieces', ' left', '.', ' The', ' answer', ' is', ' 34', '.']","[-0.11633556, -0.9613096999999999, -0.020787314, -0.00038304447999999995, -0.68047, -0.07617036, -0.12848027, -0.09845877, -0.6424612, -0.031462204, -0.21159916, -0.00042675464999999995, -0.0010385644, -0.8456922, -0.12071527500000001, -1.1165632, -0.69895416, -0.61918753, -0.2795534, -0.3763373, -0.32045192, -1.6282536e-05, -0.103998214, -0.00010486491999999999, -0.014217263, -0.126256, -1.1951623, -0.25405002, -0.0009151844, -0.029237747, -0.7684572, -0.19295472, -1.3900239000000001e-05, -0.17878523000000002, -2.880226e-05, -0.021047207000000002, -0.004826889, -0.08106946, -0.11807761, -5.693833e-05, -0.00047678566999999995, -3.7684315e-06, -0.23223343000000002, -0.0005419637299999999, -0.007756413, -0.5187949, -0.0015657406000000001, -0.5897452, -1.7119806e-05, -3.8103353e-05, -0.00092389324, -0.014163216000000001]",,34,0
478," At a restaurant each adult meal costs $2 and kids eat free. If a group of 15 people came in and 9 were kids, how much would it cost for the group to eat? ",12," If 9 were kids, then that means 6 were adults. 6 adults at 2 dollars each is 6 x 2 = 12 dollars. So the total cost for the group to eat is 12 dollars.","[' If', ' 9', ' were', ' kids', ',', ' then', ' that', ' means', ' 6', ' were', ' adults', '.', ' 6', ' adults', ' at', ' 2', ' dollars', ' each', ' is', ' 6', ' x', ' 2', ' =', ' 12', ' dollars', '.', ' So', ' the', ' total', ' cost', ' for', ' the', ' group', ' to', ' eat', ' is', ' 12', ' dollars', '.']","[-1.1649774, -0.21951056, -0.10668926000000001, -0.0005124441000000001, -0.24213858, -0.16210793, -0.8967804300000001, -0.24111536, -1.0854689, -0.02259029, -7.803827600000001e-05, -0.00096655113, -0.1991677, -0.13681647, -0.6837133999999999, -0.16651538, -0.00018366938, -0.08158343, -0.24729985000000002, -0.021642352, -0.68536663, -6.6294405999999995e-06, -0.04834614, -6.0993300000000004e-05, -0.117165454, -2.7611111e-05, -0.3958635, -0.0026469873, -0.11917617, -0.032547235, -0.36573496, -6.993020000000002e-05, -0.00054780964, -0.22237566, -2.9756868000000002e-05, -0.5457784, -9.401318000000001e-05, -0.0030570428, -0.00010176362]",,12,1
479," Edward earned 4 dollars for each lawn he mowed. If he had 17 lawns to mow, but forgot to mow 9 of them, how much money did he actually earn? ",32," Edward earned 4 dollars for each lawn he mowed. If he had 17 lawns to mow, but forgot to mow 9 of them, he would have mowed 8 lawns. 8 * 4 is 32. The answer is 32.","[' Edward', ' earned', ' 4', ' dollars', ' for', ' each', ' lawn', ' he', ' m', 'owed', '.', ' If', ' he', ' had', ' 17', ' lawn', 's', ' to', ' m', 'ow', ',', ' but', ' forgot', ' to', ' m', 'ow', ' 9', ' of', ' them', ',', ' he', ' would', ' have', ' m', 'owed', ' 8', ' lawn', 's', '.', ' 8', ' *', ' 4', ' is', ' 32', '.', ' The', ' answer', ' is', ' 32', '.']","[-0.13977493, -0.13206577, -0.0066702445, -0.0005380270299999999, -0.5414483, -0.047486197, -0.00015004877, -0.39512947, -0.00043450415, -2.0815281000000002e-05, -0.001248854, -1.1551981, -0.011425634, -0.8210989, -0.077196755, -0.0012901537, -2.8138237999999996e-06, -0.13073727000000002, -0.0015548165, -3.4089344e-06, -0.08168918, -0.78036934, -0.075402334, -0.014907508000000002, -0.009170029000000001, -3.2906587e-06, -1.5567284e-05, -0.008359246, -0.00023595691999999999, -0.0042845784, -0.59550905, -0.7951743, -0.07319492, -0.7273037, -6.170386000000001e-05, -0.11889699999999999, -0.6265082, -6.2699432e-06, -0.012325865, -0.86742336, -1.0932055, -7.577424500000001e-05, -0.6613528, -0.0007523857599999999, -0.12680629000000002, -0.082499206, -0.00041071308, -5.5556293e-06, -0.0018792074, -0.019091828]",,32,1
480," A new building needed 11 windows. The builder had already installed 4 of them. If it takes 8 hours to install each window, how long will it take him to install the rest? ",56," The builder had already installed 4 windows. He needed to install 11 - 4 = 7 more windows. If it takes 8 hours to install each window, then it will take 8 * 7 = 56 hours to install the rest. The answer is 56.","[' The', ' builder', ' had', ' already', ' installed', ' 4', ' windows', '.', ' He', ' needed', ' to', ' install', ' 11', ' -', ' 4', ' =', ' 7', ' more', ' windows', '.', ' If', ' it', ' takes', ' 8', ' hours', ' to', ' install', ' each', ' window', ',', ' then', ' it', ' will', ' take', ' 8', ' *', ' 7', ' =', ' 56', ' hours', ' to', ' install', ' the', ' rest', '.', ' The', ' answer', ' is', ' 56', '.']","[-0.5864682999999999, -0.016044166000000002, -0.9320527999999999, -0.5757882999999999, -0.00014408647, -0.00039652257999999997, -0.24897169, -0.11456633000000001, -0.7747077, -0.61770165, -0.12005017, -9.115311000000001e-05, -0.0029398666, -0.33827275, -0.000118333635, -0.009095862500000001, -0.0015241920000000002, -0.09392574000000001, -0.51921594, -1.1159372000000002e-05, -0.26573268, -0.02362767, -0.015567408000000001, -0.0053527122, -0.00015803762999999998, -0.037231967000000005, -8.495144000000001e-05, -0.019193595, -0.0050213183, -4.4419543e-05, -0.53854644, -0.021622375000000003, -0.08684482, -0.0006975704, -0.35804105, -0.2639781, -2.9311613999999997e-06, -0.14088395, -4.656436000000001e-05, -0.16454515, -0.050599396000000005, -0.0037870210000000002, -0.040188, -0.03226803, -0.14598209, -0.09425408, -0.00012405471, -1.4020380000000002e-05, -8.88872e-05, -0.04931645]",,56,1
481," Tom bought 12 boxes of chocolate candy and gave 7 to his little brother. If each box has 6 pieces inside it, how many pieces did Tom still have? ",30," Tom bought 12 boxes of chocolate candy. Each box has 6 pieces. So 12 boxes will be 12 x 6 = 72 pieces. If he gave 7 to his little brother, then he has 72 - 7 = 65 pieces. The answer is 65.","[' Tom', ' bought', ' 12', ' boxes', ' of', ' chocolate', ' candy', '.', ' Each', ' box', ' has', ' 6', ' pieces', '.', ' So', ' 12', ' boxes', ' will', ' be', ' 12', ' x', ' 6', ' =', ' 72', ' pieces', '.', ' If', ' he', ' gave', ' 7', ' to', ' his', ' little', ' brother', ',', ' then', ' he', ' has', ' 72', ' -', ' 7', ' =', ' 65', ' pieces', '.', ' The', ' answer', ' is', ' 65', '.']","[-0.08912088, -0.87181747, -0.000924371, -0.00020966532, -0.5953218, -0.103819, -0.11610693, -0.1116776, -0.8766798, -0.025823647, -0.24962711, -0.0076052310000000005, -0.0012739789000000001, -0.66382825, -0.18725674, -1.0329621, -0.48696056, -0.8260924, -0.33420947, -0.031175798, -0.0556402, -5.3162735e-06, -0.1986078, -0.00025503314, -0.008974368, -0.41174227, -1.010357, -0.22286192, -0.0010097460000000002, -0.025602812000000003, -0.41595483, -3.97704e-05, -0.12305555, -2.6419024000000005e-05, -0.0013182644000000001, -0.24513169, -0.030874535, -0.31526932, -9.973519600000001e-05, -0.0008757498, -6.206056000000001e-05, -0.13195762, -0.00032896505, -0.02194627, -0.56499046, -0.26683354, -5.5745302e-05, -1.6521892e-05, -7.9112084e-05, -0.007979878000000001]",,65,0
482," John had 6 action figures, but needed 11 total for a complete collection. If each one costs $6, how much money would he need to finish his collection? ",30," John had 6 action figures, and needed 11 total. So he needed 11 - 6 = 5 more action figures. 5 more action figures at $6 each will be 5 * 6 = 30 dollars. The answer is 30.","[' John', ' had', ' 6', ' action', ' figures', ',', ' and', ' needed', ' 11', ' total', '.', ' So', ' he', ' needed', ' 11', ' -', ' 6', ' =', ' 5', ' more', ' action', ' figures', '.', ' 5', ' more', ' action', ' figures', ' at', ' $', '6', ' each', ' will', ' be', ' 5', ' *', ' 6', ' =', ' 30', ' dollars', '.', ' The', ' answer', ' is', ' 30', '.']","[-0.4012186, -1.1674999, -0.011463679000000001, -0.0023561027, -0.00028782585, -1.0737749, -0.7574105999999999, -0.31811187, -0.00074546697, -0.11103526500000001, -0.13040583, -0.27308244, -0.04883647, -0.26416638, -0.18897192000000002, -0.0034686492, -2.5703772000000006e-05, -0.059184708, -9.687513e-05, -0.12117586, -0.5711636, -0.00029235485, -0.014831158, -0.7504917999999999, -0.6733766999999999, -0.06145283, -0.00019404522, -0.14867441, -0.36462859999999997, -6.827631999999999e-08, -0.0023880654, -0.28413436000000003, -0.6681551, -0.046282936000000004, -0.6065634999999999, -2.2159092999999997e-06, -0.008418873, -0.0020231344, -0.12754816, -0.00044261314999999996, -0.037764408, -0.000139794, -2.0966954e-06, -0.00021979994, -0.060859166000000006]",,30,1
483," At a restaurant each adult meal costs $8 and kids eat free. If a group of 11 people came in and 2 were kids, how much would it cost for the group to eat? ",72," If 2 were kids, then that means 11 - 2 = 9 were adults. 9 adults at 8 dollars each is 9 * 8 = 72 dollars. The answer is 72 dollars.","[' If', ' 2', ' were', ' kids', ',', ' then', ' that', ' means', ' 11', ' -', ' 2', ' =', ' 9', ' were', ' adults', '.', ' 9', ' adults', ' at', ' 8', ' dollars', ' each', ' is', ' 9', ' *', ' 8', ' =', ' 72', ' dollars', '.', ' The', ' answer', ' is', ' 72', ' dollars', '.']","[-1.8624597999999999, -0.42603612, -0.22176723, -0.00054208294, -0.4521212, -0.21587664, -0.8771671999999999, -0.27599183, -0.49775854, -0.0025104354000000002, -0.00018593716, -0.012770881000000001, -1.4139594000000001e-05, -0.5275183, -5.419465700000001e-05, -5.1979979999999996e-06, -0.6663340999999999, -0.16993648, -0.89087963, -0.16812829999999998, -0.00021157267, -0.030072456, -0.296711, -0.11012387, -0.33825669999999997, -6.661909399999999e-07, -0.091158494, -0.00018605449, -0.29264694, -0.00010176362, -0.07581562500000001, -0.0011832668000000001, -9.72699e-06, -0.0005310519, -0.14000946, -0.00012191364999999999]",,72,1
484," At the fair Kaleb bought 6 tickets. After riding the ferris wheel he had 3 tickets left. If each ticket cost 9 dollars, how much money did Kaleb spend riding the ferris wheel? ",27," Kaleb started with 6 tickets. He had 3 left, so he must have used 6 - 3 = 3 tickets. Each ticket cost 9 dollars, so 3 tickets cost 3 x 9 = 27 dollars. The answer is 27.","[' K', 'aleb', ' started', ' with', ' 6', ' tickets', '.', ' He', ' had', ' 3', ' left', ',', ' so', ' he', ' must', ' have', ' used', ' 6', ' -', ' 3', ' =', ' 3', ' tickets', '.', ' Each', ' ticket', ' cost', ' 9', ' dollars', ',', ' so', ' 3', ' tickets', ' cost', ' 3', ' x', ' 9', ' =', ' 27', ' dollars', '.', ' The', ' answer', ' is', ' 27', '.']","[-0.20766436, -2.9041616000000004e-05, -0.65263414, -0.0041824016, -0.0007870445, -6.9453374e-05, -0.046663947000000004, -0.18905401, -0.035671998, -7.3446926999999995e-06, -0.24954213, -0.81622577, -0.04387306, -0.0012431245000000001, -0.33028424, -0.00029307103, -0.2228305, -0.011834963, -0.0024151935, -3.333313e-05, -0.0037659605000000002, -1.163433e-05, -0.0036129850000000004, -0.0011026489, -0.7776554, -0.022939382, -0.09786641, -0.0060254727, -0.0025449158000000003, -0.5037146, -2.6538237000000004e-05, -0.6067287, -0.33502284, -0.36930105, -0.37607604, -0.6857200000000001, -4.361666e-06, -0.07057008000000001, -1.5925843e-05, -0.05817858, -0.000107007865, -0.0048346138, -0.00015982576999999998, -1.3542607e-05, -4.5374152000000005e-05, -0.010906314]",,27,1
485," Tiffany baked 8 brownies, but needed 17 total for her party. If she used 8 cups of flour on each one, how much cups of flour does she still need? ",72," Tiffany needed 17 total brownies, but only had 8. So she needs 8 more. If she used 8 cups of flour on each one, she will need 8 more times 8 cups of flour. 8 * 8 = 64. The answer is 64.","[' Tiffany', ' needed', ' 17', ' total', ' brown', 'ies', ',', ' but', ' only', ' had', ' 8', '.', ' So', ' she', ' needs', ' 8', ' more', '.', ' If', ' she', ' used', ' 8', ' cups', ' of', ' flour', ' on', ' each', ' one', ',', ' she', ' will', ' need', ' 8', ' more', ' times', ' 8', ' cups', ' of', ' flour', '.', ' 8', ' *', ' 8', ' =', ' 64', '.', ' The', ' answer', ' is', ' 64', '.']","[-0.07861404, -1.2868297, -0.551148, -0.59171164, -0.44411013, -3.4642555e-05, -0.69805133, -0.020319013, -0.092272304, -0.35889432, -3.965026e-05, -0.0006998363499999999, -0.331104, -0.0010763338000000001, -0.060374316000000004, -0.17211096, -1.4497215500000001e-05, -0.007094558000000001, -0.67199725, -0.71931934, -0.36250222, -1.1430257999999999e-06, -4.072407e-05, -0.010837076000000001, -9.846204e-06, -0.58200425, -0.008609496000000001, -0.10536502, -0.009585717, -0.30417365, -0.7556448, -0.0053906430000000005, -0.0008135886000000001, -0.10352689, -0.18421197, -0.016988508, -0.0011827908, -0.020373333, -2.4543265e-06, -0.0033002920000000002, -0.75163275, -0.18867797, -1.8841804e-07, -0.5914754, -0.0006236113, -0.07287696, -0.1700255, -0.0005646284, -1.2112103000000002e-05, -0.0018896584000000001, -0.077124]",,64,0
486," In a video game, each enemy defeated gives you 7 points. If a level has 11 enemies total and you destroy all but 8 of them, how many points would you earn? ",21," You would earn 7 points for each enemy you defeat. So if you defeat 11 - 8 = 3 enemies, you would earn 3 * 7 = 21 points.","[' You', ' would', ' earn', ' 7', ' points', ' for', ' each', ' enemy', ' you', ' defeat', '.', ' So', ' if', ' you', ' defeat', ' 11', ' -', ' 8', ' =', ' 3', ' enemies', ',', ' you', ' would', ' earn', ' 3', ' *', ' 7', ' =', ' 21', ' points', '.']","[-0.67726296, -0.1659231, -0.42217955, -0.43370435, -0.15247345, -0.019053493, -0.0025358945, -0.045310285000000006, -0.31203157, -0.6404310999999999, -0.006399003, -0.40703267, -0.7295032, -0.0887169, -0.6587377999999999, -0.48887864000000003, -0.0078092148, -4.513573400000001e-05, -0.12783226, -0.00046778027999999996, -0.00058371306, -0.0004368883, -0.09608309999999999, -0.010826352000000001, -0.019867465, -0.26294413, -0.22270902, -4.361666e-06, -0.046198726, -4.9586424e-06, -0.008426086000000001, -0.0060853204]",,21,1
487," A magician was selling magic card decks for 7 dollars each. If he started with 16 decks and by the end of the day he had 8 left, how much money did he earn? ",56, The magician started with 16 decks. He sold 8 decks. So he earned 7 * 8 = 56 dollars.,"[' The', ' magician', ' started', ' with', ' 16', ' decks', '.', ' He', ' sold', ' 8', ' decks', '.', ' So', ' he', ' earned', ' 7', ' *', ' 8', ' =', ' 56', ' dollars', '.']","[-0.39630938, -0.0017809167, -0.08398919, -0.00881206, -0.00020096028, -0.02477885, -0.31144804, -0.5009541, -0.17089233, -0.23969769999999999, -0.64384156, -0.055372924000000004, -0.047800012, -0.016508345, -0.41477394, -0.775818, -0.52586687, -3.076318e-07, -0.24424571, -0.00016912498, -0.0019259673, -0.0030615877]",,56,1
488," There were 13 friends playing a video game online when 8 players quit. If each player left had 6 lives, how many lives did they have total? ",30, There were 13 friends playing the game. 8 players quit. So the number of lives left is 13 - 8 = 5. They have 5 * 6 = 30 lives left. The answer is 30.,"[' There', ' were', ' 13', ' friends', ' playing', ' the', ' game', '.', ' 8', ' players', ' quit', '.', ' So', ' the', ' number', ' of', ' lives', ' left', ' is', ' 13', ' -', ' 8', ' =', ' 5', '.', ' They', ' have', ' 5', ' *', ' 6', ' =', ' 30', ' lives', ' left', '.', ' The', ' answer', ' is', ' 30', '.']","[-0.5581336, -0.069650844, -0.57018864, -0.08583445, -0.57581824, -1.4712619999999998, -0.11342128, -0.59553003, -0.18944436, -0.6862652300000001, -0.6274036, -0.30546713000000003, -0.10086199, -0.682476, -0.7686818999999999, -0.0003626532, -0.7822828, -0.41643074, -0.39290909999999996, -0.058739036, -0.03660664, -6.746777999999999e-06, -0.028678803000000003, -0.00022194568, -0.021024322, -0.6300027, -0.22913371000000002, -0.40504992, -0.508803, -6.5092986e-06, -0.11541156, -0.00023345168, -0.0038194496, -0.9879491300000001, -0.29252115, -0.1626638, -0.00086053705, -1.0681599e-05, -5.5385808e-05, -0.0050770952]",,30,1
