,question,answer,response,mapping,response_answer,equations,
600,Rachel's tree had c0 apples initially. She picked some apples and now there are c1 apples left on the tree.How many apples did rachel pick?,2,"Rachel started with c0 apples. After picking some, she had c1 left. So she must have picked c0 - c1 apples. 
apples_picked = c0 - c1
The answer is apples_picked.","{'c0': 4.0, 'c1': 2.0}",2,"['apples_picked =  c0 - c1', 'answer = apples_picked']",1
601,Bobby ate c0 pieces of candy. Then he ate c1 more. He also ate c2 pieces of chocolate.How many pieces of candy did Bobby eat?,70,"Bobby ate c0 pieces of candy. Then he ate c1 more, so he had c0 + c1 pieces of candy. He also ate c2 pieces of chocolate, which is irrelevant to the number of pieces of candy he ate. Therefore, Bobby ate c0 + c1 pieces of candy. The answer is c0 + c1.","{'c0': 28.0, 'c1': 42.0, 'c2': 63.0}",70,['Bobby ate c0 pieces of candy'],1
602,The Razorback shop makes $ c0 dollars off each jersey and $ c1 off each t-shirt. During the Arkansas and Texas tech game they sold c2 t-shirts and c3 jerseys.How much more does a jersey cost than a t-shirt?,90,"The Razorback shop makes c0 dollars off each jersey and c1 dollars off each t-shirt. During the game, they sold c2 t-shirts and c3 jerseys. The total revenue from t-shirts is c1 * c2 dollars and the total revenue from jerseys is c0 * c3 dollars. 
revenue_tshirts = c1 * c2
revenue_jerseys = c0 * c3
The difference in revenue between a jersey and a t-shirt is c0 - c1 dollars. 
difference = c0 - c1
The answer is difference.","{'c0': 115.0, 'c1': 25.0, 'c2': 113.0, 'c3': 78.0}",90,"['revenue_tshirts =  c1 * c2', 'revenue_jerseys =  c0 * c3', 'difference =  c0 - c1', 'answer = difference']",1
603,Bobby had c0 pieces of candy. He ate some pieces of candy. Then he ate c1 more. If he still has c2 pieces of candy leftHow many pieces of candy had he eaten at the start?,9,"Bobby started with c0 pieces of candy. He ate some, so he had c0 - eaten candies left. Then he ate c1 more, so he had c0 - eaten candies - c1 candies left. And that equals c2 candies. 
c0 - eaten candies - c1 = c2
Solving for eaten candies, we get:
eaten candies = c0 - c1 - c2
The answer is eaten candies.","{'c0': 22.0, 'c1': 5.0, 'c2': 8.0}",6,"['c1 =  c2', 'candies =  c0 - c1 - c2', 'answer = eaten candies']",0
604,If each pack costs c0 dollarsHow much will it cost to buy c1 packs of dvds?,2673,"If each pack costs c0 dollars, then c1 packs will cost c0 * c1 dollars. 
total_cost = c0 * c1
The answer is total_cost.","{'c0': 81.0, 'c1': 33.0}",2673,"['total_cost =  c0 * c1', 'answer = total_cost']",1
605,There were c0 parents in the program and c1 pupils too. The program could seat c2 peopleHow many people were present in the program?,238,"There were c0 parents and c1 pupils, so in total there were c0 + c1 people. 
total_people = c0 + c1
The program could seat c2 people, so that is the maximum number of people present. 
The answer is c2.","{'c0': 61.0, 'c1': 177.0, 'c2': 44.0}",44,"['total_people =  c0 + c1', 'answer = c2']",0
606,Every day Ryan spends c0 hours on learning english and c1 hours on learning chinese. If he learns for c2 daysHow many hours does he spend on learning english and chinese each day?,10,"Ryan spends c0 + c1 hours each day on learning English and Chinese. 
total_hours = c0 + c1
If he learns for c2 days, then he spends a total of c2 * total_hours hours. 
total_learning_hours = c2 * total_hours
To find out how many hours he spends on each language each day, we divide the total learning hours by the number of days and then divide by 2 (since he spends that time on both languages). 
hours_per_language_per_day = total_learning_hours / (c2 * 2)
The answer is hours_per_language_per_day.","{'c0': 4.0, 'c1': 6.0, 'c2': 86.0}",5,"['total_hours =  c0 + c1', 'total_learning_hours =  c2 * total_hours', 'hours_per_language_per_day =  total_learning_hours / (c2 * 2)', 'answer = hours_per_language_per_day']",0
607,Baker made c0 cakes and c1 pastries. If he sold c2 cakes and c3 pastriesHow many more cakes than pastries did baker make?,78,"Baker made c0 cakes and c1 pastries. He sold c2 cakes and c3 pastries. So he has c0 - c2 cakes and c1 - c3 pastries left. 
cakes_left = c0 - c2
pastries_left = c1 - c3
The difference between the number of cakes and pastries is cakes_left - pastries_left. 
cakes_more_than_pastries = cakes_left - pastries_left
The answer is cakes_more_than_pastries.","{'c0': 126.0, 'c1': 48.0, 'c2': 115.0, 'c3': 81.0}",44,"['cakes_left =  c0 - c2', 'pastries_left =  c1 - c3', 'cakes_more_than_pastries =  cakes_left - pastries_left', 'answer = cakes_more_than_pastries']",0
608,At the arcade Dave had won c0 tickets. If he used c1 to buy some toys and c2 more to buy some clothesHow many more tickets did Dave use to buy toys than he did to buy clothes?,5,"Dave started with c0 tickets. He used c1 tickets to buy toys and c2 tickets to buy clothes. 
tickets_spent_toys = c1
tickets_spent_clothes = c2
To find out how many more tickets he used to buy toys than clothes, we need to subtract tickets_spent_clothes from tickets_spent_toys. 
tickets_difference = tickets_spent_toys - tickets_spent_clothes
The answer is tickets_difference.","{'c0': 19.0, 'c1': 12.0, 'c2': 7.0}",5,"['tickets_spent_toys =  c1', 'tickets_spent_clothes =  c2', 'tickets_difference =  tickets_spent_toys - tickets_spent_clothes', 'answer = tickets_difference']",1
609,"A grocery store had c0 bottles of regular soda, c1 bottles of diet soda and c2 apples.How many bottles did they have total?",38,"The grocery store had c0 bottles of regular soda, c1 bottles of diet soda, and c2 apples. The total number of bottles is the sum of the regular and diet soda bottles. 
total_bottles = c0 + c1
Then, we add the number of apples to get the final answer. 
total_items = total_bottles + c2
The answer is total_items.","{'c0': 30.0, 'c1': 8.0, 'c2': 41.0}",79,"['total_bottles =  c0 + c1', 'total_items =  total_bottles + c2', 'answer = total_items']",0
610,There are c0 baskets of peaches. Each basket has c1 red peaches and c2 green peaches.How many peaches are in the baskets altogether?,308,"Each basket has c1 + c2 peaches. If there are c0 baskets, then the total number of peaches is c0 * (c1 + c2). 
total_peaches = c0 * (c1 + c2)
The answer is total_peaches.","{'c0': 11.0, 'c1': 10.0, 'c2': 18.0}",308,"['total_peaches =  c0 * (c1 + c2)', 'answer = total_peaches']",1
611,Paul got a box of c0 crayons for his birthday. During the school year he gave c1 crayons to his friends while he lost c2 crayons.How many crayons did he have left?,223,"Paul started with c0 crayons. After giving c1 to his friends, he had c0 - c1 crayons left. 
crayons_left_after_friends = c0 - c1
After losing c2 more, he had crayons_left_after_friends - c2 crayons left. 
crayons_left = crayons_left_after_friends - c2
The answer is crayons_left.","{'c0': 440.0, 'c1': 111.0, 'c2': 106.0}",223,"['crayons_left_after_friends =  c0 - c1', 'crayons_left =  crayons_left_after_friends - c2', 'answer = crayons_left']",1
612,Some campers went rowing in the morning while c0 campers went rowing in the afternoon. If a total of c1 campers went rowing that dayHow many campers went rowing in the morning?,53,"Let x be the number of campers who went rowing in the morning. Then the number of campers who went rowing in the afternoon is c0. The total number of campers who went rowing is x + c0, which is equal to c1. So we can write an equation:
x + c0 = c1
Solving for x, we get:
x = c1 - c0
The answer is x.","{'c0': 7.0, 'c1': 60.0}",0,"['c0 =  c1', 'x =  c1 - c0', 'answer = x']",0
613,He then went to see the oranges being harvested. He found out that they harvest c0 sacks per day and discard c1 of them.How many sacks of oranges will they have after c2 days of harvest?,153,"Each day they harvest c0 sacks of oranges, but discard c1 of them. So they keep c0 - c1 sacks each day. After c2 days of harvest, they will have (c0 - c1) * c2 sacks of oranges. 
total_oranges = (c0 - c1) * c2
The answer is total_oranges.","{'c0': 74.0, 'c1': 71.0, 'c2': 51.0}",153,"['total_oranges =  (c0 - c1) * c2', 'answer = total_oranges']",1
614,Next on his checklist is wax to stick the feathers together. If he has c0 g of wax and right now he just needs c1 gTotal how many grams of wax do the feathers require?,574,The feathers require c1 grams of wax. The answer is c1.,"{'c0': 557.0, 'c1': 17.0}",17,['The feathers require c1 grams of wax'],0
615,Jerry had c0 books and c1 action figures on a shelf in his room. Later he added c2 more action figures to the shelf.How many more books than action figures were on his shelf?,2,"Jerry had c0 books and c1 action figures on the shelf. After adding c2 more action figures, he had c1 + c2 action figures on the shelf. 
total_action_figures = c1 + c2
The number of books more than action figures is c0 - total_action_figures. 
books_more_than_action_figures = c0 - total_action_figures
The answer is books_more_than_action_figures.","{'c0': 7.0, 'c1': 3.0, 'c2': 2.0}",2,"['total_action_figures =  c1 + c2', 'books_more_than_action_figures =  c0 - total_action_figures', 'answer = books_more_than_action_figures']",1
616,Matthew gave c0 crackers to each his friends. If he had c1 crackersHow many friends did he give crackers to?,6,"Matthew gave c0 crackers to each friend. If he had c1 crackers, he must have given crackers to c1/c0 friends. 
friends_given_to = c1/c0
The answer is friends_given_to.","{'c0': 6.0, 'c1': 36.0}",6,"['friends_given_to =  c1/c0', 'answer = friends_given_to']",1
617,Katie had c0 new games and c1 old games. Her friends had c2 new games.How many more games does Katie have than her friends?,62,"Katie had c0 new games and c1 old games, so she had a total of c0 + c1 games. Her friends had c2 new games, so they had c2 games in total. 
Katie has c0 + c1 - c2 more games than her friends. 
more_games = c0 + c1 - c2
The answer is more_games.","{'c0': 57.0, 'c1': 39.0, 'c2': 34.0}",62,"['more_games =  c0 + c1 - c2', 'answer = more_games']",1
618,c0 children were riding on the bus. At the bus stop c1 more children got on the bus.How many children are on the bus now?,64,"There were originally c0 children on the bus. c1 more children got on the bus, so the total number of children on the bus is c0 + c1. 
total_children = c0 + c1
The answer is total_children.","{'c0': 26.0, 'c1': 38.0}",64,"['total_children =  c0 + c1', 'answer = total_children']",1
619,Josh had c0 marbles in his collection. He found c1 marbles.How many marbles does he have now?,28,"Josh started with c0 marbles. He found c1 more marbles. So he now has c0 + c1 marbles. 
total_marbles = c0 + c1
The answer is total_marbles.","{'c0': 21.0, 'c1': 7.0}",28,"['total_marbles =  c0 + c1', 'answer = total_marbles']",1
620,Jake brought c0 balloons to the park. If Jake brought c1 more balloons than the number of balloons that Allan broughtHow many balloons did Allan bring to the park?,2,"Jake brought c0 balloons. He brought c1 more balloons than Allan. So Allan brought c0 - c1 balloons. 
balloons_allan = c0 - c1
The answer is balloons_allan.","{'c0': 6.0, 'c1': 4.0}",2,"['balloons_allan =  c0 - c1', 'answer = balloons_allan']",1
621,At the arcade Dave had won c0 tickets and lost c1 tickets. If he used c2 to buy some toysHow many tickets did Dave have left?,2,"Dave started with c0 tickets. After losing c1 tickets, he had c0 - c1 tickets. 
tickets_spent = c2
So he has c0 - c1 - c2 tickets left. 
tickets_remaining = c0 - c1 - c2
The answer is tickets_remaining.","{'c0': 14.0, 'c1': 2.0, 'c2': 10.0}",2,"['tickets_spent =  c2', 'tickets_remaining =  c0 - c1 - c2', 'answer = tickets_remaining']",1
622,During summer break c0 kids from Lawrence county go to camp and the other c1 kids stay home. An additional c2 kids from outside the county attended the camp.About how many kids are in Lawrence county?,1201565,"There are c0 kids from Lawrence county who go to camp and c1 kids who stay home. An additional c2 kids from outside the county attended the camp. So the total number of kids in Lawrence county is c0 + c1 + c2. 
total_kids = c0 + c1 + c2
The answer is total_kids.","{'c0': 610769.0, 'c1': 590796.0, 'c2': 22.0}",1201587,"['total_kids =  c0 + c1 + c2', 'answer = total_kids']",0
623,Edward had $ c0. He spent $ 16.How much money does Edward have now?,2,"Edward had c0 dollars. He spent 16 dollars, so he has c0 - 16 dollars left. 
money_remaining = c0 - 16
The answer is money_remaining.",{'c0': 18.0},2,"['money_remaining =  c0 - 16', 'answer = money_remaining']",1
624,For Gwen's birthday she received c0 dollars from her dad. Her mom gave her c1 more dollars. If she spent c2 dollars.How much more money did she receive from her dad than she did from her mom?,3,"Gwen received c0 dollars from her dad and c1 more dollars from her mom. So in total, she received c0 + c1 dollars. After spending c2 dollars, she has c0 + c1 - c2 dollars left. 
money_left = c0 + c1 - c2
To find out how much more money she received from her dad than her mom, we need to subtract c1 from c0. 
difference = c0 - c1
The answer is difference.","{'c0': 5.0, 'c1': 2.0, 'c2': 6.0}",3,"['money_left =  c0 + c1 - c2', 'difference =  c0 - c1', 'answer = difference']",1
625,Robin's hair was c0 inches long. It grew by c1 inches. Then he cut off c2 inches.How long is his hair now?,2,"Robin's hair was originally c0 inches long. It grew by c1 inches, so it was c0 + c1 inches long. Then he cut off c2 inches, so his hair is now (c0 + c1) - c2 inches long. 
hair_length_now = (c0 + c1) - c2
The answer is hair_length_now.","{'c0': 14.0, 'c1': 8.0, 'c2': 20.0}",2,"['hair_length_now =  (c0 + c1) - c2', 'answer = hair_length_now']",1
626,Edward spent $ c0 to buy c1 books each book costing him the same amount of money. Now he has $ 6.How much did Edward have before he spent his money?,22,"Edward spent c0 dollars to buy c1 books. Each book cost him c0/c1 dollars. 
cost_per_book = c0/c1
If he now has $6, then he must have started with c0 + 6 dollars. 
starting_money = c0 + 6
The answer is starting_money.","{'c0': 16.0, 'c1': 92.0}",22,"['cost_per_book =  c0/c1', 'starting_money =  c0 + 6', 'answer = starting_money']",1
627,During summer break c0 kids from Lawrence county go to camp and the other c1 kids stay home. An additional c2 kids from outside the county attended the camp.How many kids in total attended the camp?,458988,"There were c0 kids from Lawrence county who went to camp and c1 kids who stayed home. An additional c2 kids from outside the county attended the camp. So the total number of kids who attended the camp is c0 + c1 + c2. 
total_attendees = c0 + c1 + c2
The answer is total_attendees.","{'c0': 34044.0, 'c1': 134867.0, 'c2': 424944.0}",593855,"['total_attendees =  c0 + c1 + c2', 'answer = total_attendees']",0
628,Baker made c0 cakes and c1 pastries. If he sold c2 pastries and c3 cakesHow many more cakes than pastries did baker sell?,89,"Baker made c0 cakes and c1 pastries. He sold c2 pastries and c3 cakes. So he sold c2 + c3 total items. 
total_sold = c2 + c3
He sold c3 cakes and c2 pastries, so he sold c3 - c1 more cakes than pastries. 
cakes_sold = c3 - c1
pastries_sold = c2
difference = cakes_sold - pastries_sold
The answer is difference.","{'c0': 14.0, 'c1': 153.0, 'c2': 8.0, 'c3': 97.0}",-64,"['total_sold =  c2 + c3', 'cakes_sold =  c3 - c1', 'pastries_sold =  c2', 'difference =  cakes_sold - pastries_sold', 'answer = difference']",0
629,"After a typhoon, c0 trees in Haley's backyard died. If she had grown c1 trees initiallyHow many trees does she have left?",10,"Haley initially had c1 trees. After the typhoon, c0 trees died. So she has c1 - c0 trees left. 
remaining_trees = c1 - c0
The answer is remaining_trees.","{'c0': 2.0, 'c1': 12.0}",10,"['remaining_trees =  c1 - c0', 'answer = remaining_trees']",1
630,Paco had c0 sweet cookies and c1 salty cookies. He ate c2 sweet cookies and c3 salty cookies.How many more salty cookies than sweet cookies did he eat?,14,"Paco started with c0 sweet cookies and c1 salty cookies. After eating c2 sweet cookies, he had c0 - c2 sweet cookies left. After eating c3 salty cookies, he had c1 - c3 salty cookies left. 
salty_cookies_left = c1 - c3
sweet_cookies_left = c0 - c2
He ate salty_cookies_left - sweet_cookies_left more salty cookies than sweet cookies. 
more_salty_cookies = salty_cookies_left - sweet_cookies_left
The answer is more_salty_cookies.","{'c0': 8.0, 'c1': 6.0, 'c2': 20.0, 'c3': 34.0}",-16,"['salty_cookies_left =  c1 - c3', 'sweet_cookies_left =  c0 - c2', 'more_salty_cookies =  salty_cookies_left - sweet_cookies_left', 'answer = more_salty_cookies']",0
631,"A grocery store had c0 bottles of regular soda, c1 bottles of diet soda and c2 apples.How many more bottles of regular soda than diet soda did they have?",26,"The grocery store had c0 bottles of regular soda and c1 bottles of diet soda. To find the difference, we subtract c1 from c0. 
regular_soda_diff = c0 - c1
The answer is regular_soda_diff.","{'c0': 79.0, 'c1': 53.0, 'c2': 42.0}",26,"['regular_soda_diff =  c0 - c1', 'answer = regular_soda_diff']",1
632,Carol was sending out birthday invitations to c0 friends. She bought c1 packs each one having the same number of invitations.How many invitations are in each pack?,4,"Carol had c0 friends to invite. She bought c1 packs of invitations. If each pack had the same number of invitations, then the total number of invitations is c0. 
total_invitations = c0
Each pack must have had c0/c1 invitations. 
invitations_per_pack = c0/c1
The answer is invitations_per_pack.","{'c0': 12.0, 'c1': 3.0}",4,"['total_invitations =  c0', 'invitations_per_pack =  c0/c1', 'answer = invitations_per_pack']",1
633,Jake has c0 fewer peaches and c1 more apples than Steven. Steven has c2 peaches and c3 apples.How many apples does Jake have?,11,"Jake has c0 fewer peaches than Steven, so he has c2 - c0 peaches. 
peaches_jake = c2 - c0
Jake has c1 more apples than Steven, so he has c3 + c1 apples. 
apples_jake = c3 + c1
The answer is apples_jake.","{'c0': 13.0, 'c1': 3.0, 'c2': 9.0, 'c3': 8.0}",11,"['peaches_jake =  c2 - c0', 'apples_jake =  c3 + c1', 'answer = apples_jake']",1
634,Josh had c0 marbles in his collection. Jack gave him c1 marbles.How many marbles does Josh have now?,42,"Josh started with c0 marbles. Jack gave him c1 more marbles. So Josh now has c0 + c1 marbles. 
total_marbles = c0 + c1
The answer is total_marbles.","{'c0': 22.0, 'c1': 20.0}",42,"['total_marbles =  c0 + c1', 'answer = total_marbles']",1
635,Faye had c0 packs of pencils each one having c1 pencils. She was placing her pencils into rows with c2 pencils in each row.How many pencils does she have?,186,"Faye had c0 packs of pencils, each with c1 pencils. So she had c0 * c1 pencils in total. 
total_pencils = c0 * c1
She placed her pencils into rows with c2 pencils in each row. So the number of rows is total_pencils / c2. 
num_rows = total_pencils / c2
The answer is total_pencils or num_rows, depending on what the question is asking for.","{'c0': 31.0, 'c1': 6.0, 'c2': 19.0}",186,"['total_pencils =  c0 * c1', 'num_rows =  total_pencils / c2', 'answer = total_pencils or num_rows, depending on what the question is asking for']",1
636,Jake has c0 more apples and c1 fewer peaches than Steven. Steven has c2 peaches and c3 apples.How many peaches does Jake have?,3,"Jake has c0 more apples than Steven, so he has c3 + c0 apples. 
Jake has c1 fewer peaches than Steven, so he has c2 - c1 peaches. 
The answer is c2 - c1.","{'c0': 84.0, 'c1': 10.0, 'c2': 13.0, 'c3': 52.0}",3,['answer = c2 - c1'],1
637,Rebecca wants to split a collection of eggs into c0 groups. Rebecca has c1 eggs and c2 marbles.How many eggs will each group have?,2,"Rebecca has c1 eggs and wants to split them into c0 groups. Each group will have c1/c0 eggs. The marbles are not relevant to this calculation. 
eggs_per_group = c1/c0
The answer is eggs_per_group.","{'c0': 4.0, 'c1': 8.0, 'c2': 6.0}",2,"['eggs_per_group =  c1/c0', 'answer = eggs_per_group']",1
638,Jack received c0 emails and sent c1 letters in the morning. He then received c2 emails and sent c3 letters in the afternoon.How many emails did Jack send in the day?,10,"Jack received c0 emails and sent c1 letters in the morning. Then he received c2 emails and sent c3 letters in the afternoon. So he sent a total of c1 + c3 emails in the day.
total_emails_sent = c1 + c3
The answer is total_emails_sent.","{'c0': 4.0, 'c1': 2.0, 'c2': 6.0, 'c3': 8.0}",10,"['total_emails_sent =  c1 + c3', 'answer = total_emails_sent']",1
639,"Rachel had to complete c0 pages of math homework, c1 pages of reading homework and c2 more pages of biology homework.How many more pages of reading homework than biology homework did she have?",3,"Rachel had c1 pages of reading homework and c2 more pages of biology homework. So the difference between the two is c1 - c2 pages. 
reading_biology_difference = c1 - c2
The answer is reading_biology_difference.","{'c0': 7.0, 'c1': 11.0, 'c2': 8.0}",3,"['reading_biology_difference =  c1 - c2', 'answer = reading_biology_difference']",1
640,Dan has $ c0. He bought some candy bar for $ c1 each one costing $ 3.How many candy bar did he buy?,2,"Dan had c0 dollars. Each candy bar costs $c1 and he spent $3 in total. So he bought (3/c1) candy bars. 
candy_bars_bought = 3/c1
The answer is candy_bars_bought.","{'c0': 2.0, 'c1': 6.0}",0.5,"['candy_bars_bought =  3/c1', 'answer = candy_bars_bought']",0
641,"Lucy went to the grocery store. She bought c0 packs of cookie, c1 packs of cake and c2 packs of chocolate.How many packs of groceries did she buy in all?",42,"Lucy bought c0 packs of cookie, c1 packs of cake, and c2 packs of chocolate. The total number of packs of groceries she bought is the sum of these three quantities. 
total_packs = c0 + c1 + c2
The answer is total_packs.","{'c0': 4.0, 'c1': 22.0, 'c2': 16.0}",42,"['total_packs =  c0 + c1 + c2', 'answer = total_packs']",1
642,The school has c0 grades and each grade has c1 studentsHow many students were there in total?,22800,"If there are c0 grades and each grade has c1 students, then the total number of students is c0 * c1. 
total_students = c0 * c1
The answer is total_students.","{'c0': 304.0, 'c1': 75.0}",22800,"['total_students =  c0 * c1', 'answer = total_students']",1
643,The cave is c0 feet deep and they are already at c1 feet. If they are travelling at speed of c2 How much farther until they reach the end of the cave?,369,"The cave is c0 feet deep and they are already at c1 feet. So they have c0 - c1 feet left to travel. 
distance_left = c0 - c1
If they are travelling at a speed of c2, it will take them distance_left / c2 time to reach the end of the cave. 
time_to_reach_end = distance_left / c2
The answer is time_to_reach_end.","{'c0': 1218.0, 'c1': 849.0, 'c2': 17.0}",21.70588235,"['distance_left =  c0 - c1', 'time_to_reach_end =  distance_left / c2', 'answer = time_to_reach_end']",0
644,Bobby had c0 pieces of candy. He ate some pieces of candy. If he has c1 pieces of candy leftHow many pieces of candy did Bobby eat?,12,"Bobby started with c0 pieces of candy. After eating some, he had c1 left. So he must have eaten c0 - c1 pieces of candy. 
candy_eaten = c0 - c1
The answer is candy_eaten.","{'c0': 32.0, 'c1': 20.0}",12,"['candy_eaten =  c0 - c1', 'answer = candy_eaten']",1
645,Baker sold c0 cakes. If he had made c1 cakes initiallyHow many more cakes did baker make than those he sold?,32,"Baker made c1 cakes initially and sold c0 cakes. So he made c1 - c0 more cakes than he sold. 
cakes_made = c1
cakes_sold = c0
cakes_unsold = cakes_made - cakes_sold
The answer is cakes_unsold.","{'c0': 8.0, 'c1': 40.0}",32,"['cakes_made =  c1', 'cakes_sold =  c0', 'cakes_unsold =  cakes_made - cakes_sold', 'answer = cakes_unsold']",1
646,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that c0 visitors came to the Buckingham palace that day. If there were c1 visitors the previous day and c2 visitors the day before thatHow many visited the Buckingham palace before that day?",522,"If c0 visitors came on the current day, and c1 visitors came the previous day, then the total number of visitors in the past two days is c0 + c1. 
past_two_days = c0 + c1
If c2 visitors came the day before that, then the total number of visitors in the past three days is past_two_days + c2. 
past_three_days = past_two_days + c2
Therefore, c0 + c1 + c2 visitors visited the Buckingham palace before that day. 
total_visitors = c0 + c1 + c2
The answer is total_visitors.","{'c0': 92.0, 'c1': 419.0, 'c2': 103.0}",614,"['past_two_days =  c0 + c1', 'past_three_days =  past_two_days + c2', 'total_visitors =  c0 + c1 + c2', 'answer = total_visitors']",0
647,"After eating a hearty meal they went to see the Buckingham palace. There, Rachel learned that c0 visitors came to the Buckingham palace on the previous day. If there were c1 visitors on that dayHow many more visitors visited the Buckingham palace on that day than on the previous day?",566,"There were c0 visitors on the previous day and c1 visitors on the current day. So c1 - c0 more visitors visited on the current day than on the previous day. 
more_visitors = c1 - c0
The answer is more_visitors.","{'c0': 100.0, 'c1': 666.0}",566,"['more_visitors =  c1 - c0', 'answer = more_visitors']",1
648,In Haley's class c0 are boys who love to play marbles. If Haley has c1 marbles and wants to keep c2 marbles for herselfHow many will each of the boys receive?,2,"There are c0 boys who love to play marbles. Haley has c1 marbles and wants to keep c2 for herself. So she will give away c1 - c2 marbles to the boys. 
marbles_given = c1 - c2
Each boy will receive marbles_given / c0 marbles. 
marbles_per_boy = marbles_given / c0
The answer is marbles_per_boy.","{'c0': 4.0, 'c1': 23.0, 'c2': 15.0}",2,"['marbles_given =  c1 - c2', 'marbles_per_boy =  marbles_given / c0', 'answer = marbles_per_boy']",1
649,Matthew had c0 crackers and c1 cakes. If Matthew gave equal numbers of crackers and cakes to his c2 friendsHow many crackers did each person eat?,2,"Matthew had c0 crackers and c1 cakes. If he gave equal numbers of crackers and cakes to his c2 friends, then each friend received c0/c2 crackers and c1/c2 cakes. 
crackers_per_person = c0/c2
The answer is crackers_per_person.","{'c0': 22.0, 'c1': 34.0, 'c2': 11.0}",2,"['crackers_per_person =  c0/c2', 'answer = crackers_per_person']",1
650,Rachel has c0 apple trees. She picked c1 apples from each of her trees. Now the trees have a total c2 apples still on them.How many apples were there on all trees initially?,33,"Rachel had c0 apple trees. She picked c1 apples from each tree, so the total number of apples she picked is c0 * c1. 
apples_picked = c0 * c1
The trees now have c2 apples still on them. So the total number of apples on all trees initially is apples_picked + c2. 
initial_apples = apples_picked + c2
The answer is initial_apples.","{'c0': 3.0, 'c1': 8.0, 'c2': 9.0}",33,"['apples_picked =  c0 * c1', 'initial_apples =  apples_picked + c2', 'answer = initial_apples']",1
651,Mary is baking a cake. The recipe calls for c0 cups of flour and c1 cups of sugar. She already put in c2 cups of flour.How many more cups of sugar than cups of flour does she need to add now?,6,"Mary needs to add c0 - c2 cups of flour. 
flour_needed = c0 - c2
She needs to add c1 - flour_needed cups of sugar. 
sugar_needed = c1 - flour_needed
The answer is sugar_needed.","{'c0': 9.0, 'c1': 11.0, 'c2': 4.0}",6,"['flour_needed =  c0 - c2', 'sugar_needed =  c1 - flour_needed', 'answer = sugar_needed']",1
652,The school is planning a field trip. The school has c0 classrooms. There are c1 school buses and a total of c2 students in the school. If all buses are fullHow many seats are in each bus?,2,"There are c1 school buses and a total of c2 students. If all buses are full, then each bus will have c2/c1 students. 
students_per_bus = c2/c1
Assuming each student takes up one seat, then each bus will need c2/c1 seats. 
seats_per_bus = c2/c1
The answer is seats_per_bus.","{'c0': 17.0, 'c1': 46.0, 'c2': 92.0}",2,"['students_per_bus =  c2/c1', 'seats_per_bus =  c2/c1', 'answer = seats_per_bus']",1
653,For Gwen's birthday she received some dollars. She spent c0 dollars and has c1 dollars left with her.How much money did Gwen receive for her birthday?,14,"Gwen received some dollars for her birthday. She spent c0 dollars and has c1 dollars left. So the total amount of money she received is c0 + c1 dollars. 
total_money_received = c0 + c1
The answer is total_money_received.","{'c0': 8.0, 'c1': 6.0}",14,"['total_money_received =  c0 + c1', 'answer = total_money_received']",1
654,Danny collects bottle caps. He lost c0 bottle caps at the park. Now he has c1 bottle caps in his collection.How many bottle caps did danny have at first?,91,"Danny had c1 bottle caps after losing c0. So he must have had c1 + c0 bottle caps originally. 
original_caps = c1 + c0
The answer is original_caps.","{'c0': 66.0, 'c1': 25.0}",91,"['original_caps =  c1 + c0', 'answer = original_caps']",1
655,Jake has c0 fewer peaches than Steven. Steven has c1 more peaches than Jill. If jill has c2 peachesHow many peaches does Jake have?,17,"Jill has c2 peaches. Steven has c1 more than Jill, so he has c1 + c2 peaches. Jake has c0 fewer than Steven, so he has c1 + c2 - c0 peaches. 
jake_peaches = c1 + c2 - c0
The answer is jake_peaches.","{'c0': 6.0, 'c1': 18.0, 'c2': 5.0}",17,"['jake_peaches =  c1 + c2 - c0', 'answer = jake_peaches']",1
656,During summer break c0 kids from Lawrence county stay home and the other c1 kids go to camp.About how many kids are in Lawrence county?,1363293,"The total number of kids in Lawrence county is the sum of the number of kids who stay home and the number of kids who go to camp. 
total_kids = c0 + c1
The answer is total_kids.","{'c0': 907611.0, 'c1': 455682.0}",1363293,"['total_kids =  c0 + c1', 'answer = total_kids']",1
657,Jerry had c0 action figures and c1 books on a shelf in his room. Later he added c2 more books to the shelf.How many books were on his shelf in all?,19,"Jerry had c1 books on the shelf and added c2 more. So the total number of books on the shelf is c1 + c2. 
total_books = c1 + c2
The answer is total_books.","{'c0': 8.0, 'c1': 9.0, 'c2': 10.0}",19,"['total_books =  c1 + c2', 'answer = total_books']",1
658,c0 birds and c1 storks were sitting on the fence. c2 more storks came to join them.How many storks are sitting on the fence?,8,"There were originally c1 storks on the fence. c2 more storks came, so now there are c1 + c2 storks. 
total_storks = c1 + c2
The answer is total_storks.","{'c0': 4.0, 'c1': 6.0, 'c2': 2.0}",8,"['total_storks =  c1 + c2', 'answer = total_storks']",1
