,question,answer,response,mapping,response_answer,equations,correct
317, Wendy's old washing machine could only wash c0 pieces of clothing at a time. If she had to wash c1 shirts and c2 sweaters how many loads would she have to do? ,9,"Wendy can only wash c0 pieces of clothing at a time, so she will need to do separate loads for the shirts and sweaters. The number of loads for the shirts is c1 divided by c0, rounded up to the nearest whole number (since she can't do a partial load). The number of loads for the sweaters is c2 divided by c0, rounded up to the nearest whole number. So the total number of loads she needs to do is:

total loads = ceil(c1/c0) + ceil(c2/c0)

The answer is total loads.","{'c0': 8.0, 'c1': 39.0, 'c2': 33.0}",10,"['loads =  ceil(c1/c0) + ceil(c2/c0)', 'answer = total loads']",0
318," Debby's class is going on a field trip to the zoo. If each van can hold c0 people and there are c1 students and c2 adults going, how many vans will they need? ",2,"To find out how many vans they need, we need to divide the total number of people going by the capacity of each van. 
total_people = c1 + c2
vans_needed = total_people / c0
The answer is vans_needed. Note that if the result is not a whole number, we need to round up to the nearest integer since we can't have a partial van.","{'c0': 4.0, 'c1': 2.0, 'c2': 6.0}",2,"['total_people =  c1 + c2', 'vans_needed =  total_people / c0', 'answer = vans_needed']",1
319," Isabel uploaded c0 pictures from her phone and c1 from her camera to facebook. If she sorted the pics into c2 different albums with the same amount of pics in each album, how many pictures were in each of the albums? ",2,"Isabel uploaded a total of c0 + c1 pictures to Facebook. If she sorted them into c2 albums with the same amount of pictures in each album, then the number of pictures in each album would be:

number of pictures in each album = (c0 + c1) / c2

The answer is the quotient of the sum of c0 and c1 divided by c2.","{'c0': 2.0, 'c1': 4.0, 'c2': 3.0}",2,"['album =  (c0 + c1) / c2', 'answer = the quotient of the sum of c0 and c1 divided by c2']",1
320," While playing at the arcade, Frank won c0 tickets playing 'whack a mole' and c1 tickets playing 'skee ball'. If he was trying to buy candy that cost c2 tickets a piece, how many could he buy? ",7,"Frank won c0 + c1 tickets in total. To find out how many candies he can buy, we need to divide the total number of tickets by the cost of each candy:
candies = (c0 + c1) / c2
The answer is candies.","{'c0': 33.0, 'c1': 9.0, 'c2': 6.0}",7,"['candies =  (c0 + c1) / c2', 'answer = candies']",1
321," Mike made c0 dollars mowing lawns and c1 dollars weed eating. If he only spent c2 dollar a week, how long would the money last him? ",8,"To find out how long the money will last, we need to divide the total amount of money (c0 + c1) by the amount of money he spends each week (c2). This will give us the number of weeks the money will last. 
weeks = (c0 + c1) / c2
The answer is weeks.","{'c0': 14.0, 'c1': 26.0, 'c2': 5.0}",8,"['weeks =  (c0 + c1) / c2', 'answer = weeks']",1
322," Gwen and her friends were recycling paper for their class. For every c0 pounds they recycled they earned one point. If Gwen recycled c1 pounds and her friends recycled c2 pounds, how many points did they earn? ",6,"Gwen and her friends recycled a total of c1 + c2 pounds of paper. For every c0 pounds, they earned one point. So, the total number of points they earned is:
points = (c1 + c2) / c0
The answer is points.","{'c0': 3.0, 'c1': 5.0, 'c2': 13.0}",6,"['points =  (c1 + c2) / c0', 'answer = points']",1
323," Robin uploaded c0 pictures from her phone and c1 from her camera to facebook. If she sorted the pics into c2 different albums with the same amount of pics in each album, how many pictures were in each of the albums? ",4,"Robin uploaded a total of c0 + c1 pictures to Facebook. If she sorted them into c2 albums with the same amount of pictures in each album, then the number of pictures in each album would be:

number of pictures in each album = (c0 + c1) / c2

The answer is (c0 + c1) / c2.","{'c0': 31.0, 'c1': 5.0, 'c2': 9.0}",4,"['album =  (c0 + c1) / c2', 'answer = (c0 + c1) / c2']",1
324," For Halloween Megan received c0 pieces of candy from neighbors and c1 pieces from her older sister. If she only ate c2 pieces a day, how long would the candy last her? ",2,"Megan received c0 + c1 pieces of candy in total. If she eats c2 pieces a day, the candy will last her for (c0 + c1) / c2 days. 
The answer is (c0 + c1) / c2.","{'c0': 11.0, 'c1': 5.0, 'c2': 8.0}",2,['answer = (c0 + c1) / c2'],1
325," Maria was making baggies of cookies with c0 cookies in each bag. If she had c1 chocolate chip cookies and c2 oatmeal cookies, how many baggies could she make? ",7,"First, we need to determine the total number of cookies Maria has:
total_cookies = c1 + c2
Then, we can divide the total number of cookies by the number of cookies in each bag to find the number of baggies Maria can make:
baggies = total_cookies / c0
The answer is baggies.","{'c0': 5.0, 'c1': 33.0, 'c2': 2.0}",7,"['total_cookies =  c1 + c2', 'baggies =  total_cookies / c0', 'answer = baggies']",1
326," There school's baseball team had c0 new players and c1 returning players. If the coach put them into groups with c2 players in each group, how many groups would there be? ",2,"The total number of players on the team is c0 + c1. To find the number of groups, we need to divide the total number of players by the number of players in each group: 
number_of_groups = (c0 + c1) / c2
The answer is number_of_groups.","{'c0': 4.0, 'c1': 6.0, 'c2': 5.0}",2,"['number_of_groups =  (c0 + c1) / c2', 'answer = number_of_groups']",1
327," A pet shelter had c0 puppies when another c1 were brought in. If c2 puppies a day are adopted, how long would it take for all of them to be adopted? ",5,"We need to find out how many puppies are left to be adopted after each day. Let's call the number of days it takes to adopt all the puppies ""d"". 

On the first day, c2 puppies are adopted, so there are c0 + c1 - c2 puppies left. 
On the second day, another c2 puppies are adopted, so there are c0 + c1 - 2c2 puppies left. 
This pattern continues until all the puppies are adopted, so: 

c0 + c1 - dc2 = 0 

We can solve for d: 

d = (c0 + c1) / c2 

So it would take (c0 + c1) / c2 days for all the puppies to be adopted.","{'c0': 5.0, 'c1': 35.0, 'c2': 8.0}",5,"['dc2 =  0 ', 'd =  (c0 + c1) / c2 ']",1
328," Nancy's class is going on a field trip to the zoo. If each van can hold c0 people and there are c1 students and c2 adults going, how many vans will they need? ",3,"To find out how many vans they need, we need to divide the total number of people going by the capacity of each van. 
total_people = c1 + c2
vans_needed = total_people / c0
The answer is vans_needed. Note that if the result is not a whole number, we need to round up to the nearest integer since we can't have a partial van.","{'c0': 5.0, 'c1': 12.0, 'c2': 3.0}",3,"['total_people =  c1 + c2', 'vans_needed =  total_people / c0', 'answer = vans_needed']",1
329," Dave was helping the cafeteria workers pick up lunch trays, but he could only carry c0 trays at a time. If he had to pick up c1 trays from one table and c2 trays from another, how many trips will he make? ",8,"To figure out how many trips Dave will make, we need to divide the total number of trays he needs to carry by the number of trays he can carry at once. 
total_trays = c1 + c2
trips = total_trays / c0
The answer is trips.","{'c0': 9.0, 'c1': 17.0, 'c2': 55.0}",8,"['total_trays =  c1 + c2', 'trips =  total_trays / c0', 'answer = trips']",1
330," For a birthday party George bought c0 regular sodas and c1 diet sodas. If his fridge would only hold c2 on each shelf, how many shelves would he fill up? ",8,"To find out how many shelves George would fill up, we need to add the number of regular sodas and diet sodas together and divide by the maximum number of sodas that can fit on each shelf. 
total_sodas = c0 + c1
shelves_filled = total_sodas / c2
The answer is shelves_filled.","{'c0': 10.0, 'c1': 22.0, 'c2': 4.0}",8,"['total_sodas =  c0 + c1', 'shelves_filled =  total_sodas / c2', 'answer = shelves_filled']",1
331, The schools debate team had c0 boys and c1 girls on it. If they were split into groups of c2 how many groups could they make? ,8,"First, we need to find the total number of students on the debate team: 
total_students = c0 (boys) + c1 (girls)
Then, we can divide the total number of students by the number of students in each group to find the number of groups: 
num_groups = total_students / c2
The answer is num_groups.","{'c0': 28.0, 'c1': 4.0, 'c2': 4.0}",8,"['total_students =  c0 (boys) + c1 (girls)', 'num_groups =  total_students / c2', 'answer = num_groups']",1
332," Maria was making baggies of cookies with c0 cookies in each bag. If she had c1 chocolate chip cookies and c2 oatmeal cookies, how many baggies could she make? ",3,"First, we need to determine the total number of cookies Maria has:
total_cookies = c1 + c2
Then, we can divide the total number of cookies by the number of cookies in each bag to find the number of baggies Maria can make:
baggies = total_cookies / c0
The answer is baggies.","{'c0': 8.0, 'c1': 5.0, 'c2': 19.0}",3,"['total_cookies =  c1 + c2', 'baggies =  total_cookies / c0', 'answer = baggies']",1
333," For Halloween Sarah received c0 pieces of candy from neighbors and c1 pieces from her older sister. If she only ate c2 pieces a day, how long would the candy last her? ",9,"Sarah received c0 + c1 pieces of candy in total. If she eats c2 pieces a day, the candy will last her for (c0 + c1) / c2 days. The answer is (c0 + c1) / c2.","{'c0': 66.0, 'c1': 15.0, 'c2': 9.0}",9,['Sarah received c0 + c1 pieces of candy in total'],1
334," Henry was helping the cafeteria workers pick up lunch trays, but he could only carry c0 trays at a time. If he had to pick up c1 trays from one table and c2 trays from another, how many trips will he make? ",9,"To figure out how many trips Henry will make, we need to divide the total number of trays by the number of trays he can carry at once: 

total_trays = c1 + c2 
trips = total_trays / c0 

The answer is trips.","{'c0': 9.0, 'c1': 29.0, 'c2': 52.0}",9,"['total_trays =  c1 + c2 ', 'trips =  total_trays / c0 ', 'answer = trips']",1
335," Tiffany uploaded c0 pictures from her phone and c1 from her camera to facebook. If she sorted the pics into c2 different albums with the same amount of pics in each album, how many pictures were in each of the albums? ",4,"Tiffany uploaded a total of c0 + c1 pictures to Facebook. If she sorted them into c2 albums with the same amount of pictures in each album, then the number of pictures in each album can be found by dividing the total number of pictures by the number of albums: 
pictures_per_album = (c0 + c1) / c2
The answer is pictures_per_album.","{'c0': 7.0, 'c1': 13.0, 'c2': 5.0}",4,"['pictures_per_album =  (c0 + c1) / c2', 'answer = pictures_per_album']",1
336, A toy store had c0 giant stuffed bears in stock when they got another shipment with c1 bears in it. The put the bears onto shelves with c2 on each shelf. How many shelves did they use? ,2,"First, we need to find the total number of bears after the new shipment arrived:
total_bears = c0 + c1
Then, we can divide the total number of bears by the number of bears on each shelf to find the number of shelves used:
shelves_used = total_bears / c2
The answer is shelves_used.","{'c0': 5.0, 'c1': 7.0, 'c2': 6.0}",2,"['total_bears =  c0 + c1', 'shelves_used =  total_bears / c2', 'answer = shelves_used']",1
337," Paul made c0 dollars mowing lawns and c1 dollars weed eating. If he only spent c2 dollar a week, how long would the money last him? ",9,"To find out how long the money will last, we need to add up the total amount of money Paul made and then divide by the amount he spends each week. 
total_money = c0 + c1
weeks = total_money / c2
The answer is weeks.","{'c0': 68.0, 'c1': 13.0, 'c2': 9.0}",9,"['total_money =  c0 + c1', 'weeks =  total_money / c2', 'answer = weeks']",1
338," While playing at the arcade, Edward won c0 tickets playing 'whack a mole' and c1 tickets playing 'skee ball'. If he was trying to buy candy that cost c2 tickets a piece, how many could he buy? ",2,"Edward won c0 + c1 tickets in total. To find out how many candies he can buy, we need to divide the total number of tickets by the cost of each candy:
candies = (c0 + c1) / c2
The answer is candies.","{'c0': 3.0, 'c1': 5.0, 'c2': 4.0}",2,"['candies =  (c0 + c1) / c2', 'answer = candies']",1
339," Megan's class is going on a field trip to the zoo. If each van can hold c0 people and there are c1 students and c2 adults going, how many vans will they need? ",6,"To find out how many vans they need, we need to divide the total number of people going by the capacity of each van. 
total_people = c1 + c2
vans_needed = total_people / c0
The answer is vans_needed. Note that if the result is not a whole number, we need to round up to the nearest integer since we can't have a fraction of a van.","{'c0': 5.0, 'c1': 25.0, 'c2': 5.0}",6,"['total_people =  c1 + c2', 'vans_needed =  total_people / c0', 'answer = vans_needed']",1
340," Luke was organizing his baseball cards in a binder with c0 on each page. If he had c1 new cards and c2 old cards to put in the binder, how many pages would he use? ",4,"Luke has c1 new cards and c2 old cards, so he has a total of c1 + c2 cards to put in the binder. If each page can hold c0 cards, then he will need to use c1 + c2 divided by c0 pages. 
pages_used = (c1 + c2) / c0
The answer is pages_used.","{'c0': 3.0, 'c1': 3.0, 'c2': 9.0}",4,"['pages_used =  (c1 + c2) / c0', 'answer = pages_used']",1
341, A group of c0 friends went into a restaurant. The chef already had c1 chicken wings cooked but cooked c2 more for the group. If they each got the same amount how many would each person get? ,3,"There were already c1 chicken wings cooked and c2 more were cooked for the group, so there are now c1 + c2 chicken wings in total. If the group has c0 friends, then each person would get (c1 + c2) / c0 chicken wings. 
The answer is (c1 + c2) / c0.","{'c0': 3.0, 'c1': 6.0, 'c2': 3.0}",3,['answer = (c1 + c2) / c0'],1
342," Olivia uploaded c0 pictures from her phone and c1 from her camera to facebook. If she sorted the pics into c2 different albums with the same amount of pics in each album, how many pictures were in each of the albums? ",5,"Olivia uploaded a total of c0 + c1 pictures to Facebook. If she sorted them into c2 albums with the same amount of pictures in each album, then the number of pictures in each album would be:

number of pictures in each album = (c0 + c1) / c2

The answer is the quotient of the sum of c0 and c1 divided by c2.","{'c0': 5.0, 'c1': 35.0, 'c2': 8.0}",5,"['album =  (c0 + c1) / c2', 'answer = the quotient of the sum of c0 and c1 divided by c2']",1
343, A toy store had c0 giant stuffed bears in stock when they got another shipment with c1 bears in it. The put the bears onto shelves with c2 on each shelf. How many shelves did they use? ,4,"First, we need to find the total number of bears after the new shipment arrived:
total_bears = c0 + c1
Then, we can divide the total number of bears by the number of bears on each shelf to find the number of shelves used:
shelves_used = total_bears / c2
The answer is shelves_used.","{'c0': 6.0, 'c1': 18.0, 'c2': 6.0}",4,"['total_bears =  c0 + c1', 'shelves_used =  total_bears / c2', 'answer = shelves_used']",1
344," Jerry was helping the cafeteria workers pick up lunch trays, but he could only carry c0 trays at a time. If he had to pick up c1 trays from one table and c2 trays from another, how many trips will he make? ",2,"To figure out how many trips Jerry will make, we need to divide the total number of trays he needs to carry by the number of trays he can carry at once. 
total_trays = c1 + c2
trips = total_trays / c0
The answer is trips.","{'c0': 8.0, 'c1': 9.0, 'c2': 7.0}",2,"['total_trays =  c1 + c2', 'trips =  total_trays / c0', 'answer = trips']",1
345," A vase can hold c0 flowers. If you had c1 carnations and c2 roses, how many vases would you need to hold the flowers? ",5,"To determine the number of vases needed, we need to calculate the total number of flowers. 
total_flowers = c1 + c2
Then, we can divide the total number of flowers by the capacity of each vase to get the number of vases needed. 
vases_needed = total_flowers / c0
If the result is not a whole number, we need to round up to ensure we have enough vases. 
The answer is vases_needed (rounded up if necessary).","{'c0': 5.0, 'c1': 6.0, 'c2': 19.0}",5,"['total_flowers =  c1 + c2', 'vases_needed =  total_flowers / c0', 'answer = vases_needed (rounded up if necessary)']",1
346," Haley and her friends were recycling paper for their class. For every c0 pounds they recycled they earned one point. If Haley recycled c1 pounds and her friends recycled c2 pounds, how many points did they earn? ",9,"Haley and her friends recycled a total of c0 + c1 + c2 pounds of paper. For every c0 pounds, they earned one point, so the total number of points they earned is (c0 + c1 + c2) / c0. The answer is (c0 + c1 + c2) / c0.","{'c0': 3.0, 'c1': 11.0, 'c2': 16.0}",-1,['Haley and her friends recycled a total of c0 + c1 + c2 pounds of paper'],0
347," A pet shelter had c0 puppies when another c1 were brought in. If c2 puppies a day are adopted, how long would it take for all of them to be adopted? ",9,"We need to find out how many puppies are left to be adopted after each day. Let's call the number of days it takes to adopt all the puppies ""d"". 

On the first day, c2 puppies are adopted, so the number of puppies left is c0 + c1 - c2. 
On the second day, another c2 puppies are adopted, so the number of puppies left is c0 + c1 - 2c2. 
This pattern continues until there are no puppies left to adopt: 

c0 + c1 - c2d = 0 

We can solve for d: 

c0 + c1 = c2d 
d = (c0 + c1) / c2 

So it would take (c0 + c1) / c2 days for all the puppies to be adopted.","{'c0': 17.0, 'c1': 55.0, 'c2': 8.0}",9,"['c2d =  0 ', 'c1 =  c2d ', 'd =  (c0 + c1) / c2 ']",1
348," There school's baseball team had c0 new players and c1 returning players. If the coach put them into groups with c2 players in each group, how many groups would there be? ",7,"The total number of players on the team is c0 + c1. To find the number of groups, we need to divide the total number of players by the number of players in each group: 
number_of_groups = (c0 + c1) / c2
The answer is number_of_groups.","{'c0': 12.0, 'c1': 44.0, 'c2': 8.0}",7,"['number_of_groups =  (c0 + c1) / c2', 'answer = number_of_groups']",1
349," Frank had saved up c0 dollars. If he received another c1 dollars for his allowance, how many c2 dollar toys could he buy? ",5,"To find out how many c2 dollar toys Frank can buy, we need to divide the total amount of money he has by the cost of each toy. 
total_money = c0 + c1
number_of_toys = total_money / c2
The answer is number_of_toys.","{'c0': 3.0, 'c1': 37.0, 'c2': 8.0}",5,"['total_money =  c0 + c1', 'number_of_toys =  total_money / c2', 'answer = number_of_toys']",1
350," Luke was organizing his baseball cards in a binder with c0 on each page. If he had c1 new cards and c2 old cards to put in the binder, how many pages would he use? ",4,"Luke has c1 new cards and c2 old cards, so he has a total of c1 + c2 cards to put in the binder. If each page can hold c0 cards, then he will need to use c1 + c2 divided by c0 pages. 
pages_used = (c1 + c2) / c0
The answer is pages_used.","{'c0': 3.0, 'c1': 3.0, 'c2': 9.0}",4,"['pages_used =  (c1 + c2) / c0', 'answer = pages_used']",1
351, A group of c0 friends went into a restaurant. The chef already had c1 chicken wings cooked but cooked c2 more for the group. If they each got the same amount how many would each person get? ,3,"There were already c1 chicken wings cooked and c2 more were cooked for the group, so there are now c1 + c2 chicken wings in total. If the group has c0 friends, then each person would get (c1 + c2) / c0 chicken wings. 
The answer is (c1 + c2) / c0.","{'c0': 3.0, 'c1': 6.0, 'c2': 3.0}",3,['answer = (c1 + c2) / c0'],1
352," Olivia uploaded c0 pictures from her phone and c1 from her camera to facebook. If she sorted the pics into c2 different albums with the same amount of pics in each album, how many pictures were in each of the albums? ",5,"Olivia uploaded a total of c0 + c1 pictures to Facebook. If she sorted them into c2 albums with the same amount of pictures in each album, then the number of pictures in each album would be:

number of pictures in each album = (c0 + c1) / c2

The answer is the quotient of the sum of c0 and c1 divided by c2.","{'c0': 5.0, 'c1': 35.0, 'c2': 8.0}",5,"['album =  (c0 + c1) / c2', 'answer = the quotient of the sum of c0 and c1 divided by c2']",1
353, A toy store had c0 giant stuffed bears in stock when they got another shipment with c1 bears in it. The put the bears onto shelves with c2 on each shelf. How many shelves did they use? ,4,"First, we need to find the total number of bears after the new shipment arrived:
total_bears = c0 + c1
Then, we can divide the total number of bears by the number of bears on each shelf to find the number of shelves used:
shelves_used = total_bears / c2
The answer is shelves_used.","{'c0': 6.0, 'c1': 18.0, 'c2': 6.0}",4,"['total_bears =  c0 + c1', 'shelves_used =  total_bears / c2', 'answer = shelves_used']",1
354," Jerry was helping the cafeteria workers pick up lunch trays, but he could only carry c0 trays at a time. If he had to pick up c1 trays from one table and c2 trays from another, how many trips will he make? ",2,"To figure out how many trips Jerry will make, we need to divide the total number of trays he needs to carry by the number of trays he can carry at once. 
total_trays = c1 + c2
trips = total_trays / c0
The answer is trips.","{'c0': 8.0, 'c1': 9.0, 'c2': 7.0}",2,"['total_trays =  c1 + c2', 'trips =  total_trays / c0', 'answer = trips']",1
355," A vase can hold c0 flowers. If you had c1 carnations and c2 roses, how many vases would you need to hold the flowers? ",5,"To determine the number of vases needed, we need to calculate the total number of flowers. 
total_flowers = c1 + c2
Then, we can divide the total number of flowers by the capacity of each vase to get the number of vases needed. 
vases_needed = total_flowers / c0
If the result is not a whole number, we need to round up to ensure we have enough vases. 
The answer is vases_needed (rounded up if necessary).","{'c0': 5.0, 'c1': 6.0, 'c2': 19.0}",5,"['total_flowers =  c1 + c2', 'vases_needed =  total_flowers / c0', 'answer = vases_needed (rounded up if necessary)']",1
356," Haley and her friends were recycling paper for their class. For every c0 pounds they recycled they earned one point. If Haley recycled c1 pounds and her friends recycled c2 pounds, how many points did they earn? ",9,"Haley and her friends recycled a total of c0 + c1 + c2 pounds of paper. For every c0 pounds, they earned one point, so the total number of points they earned is (c0 + c1 + c2) / c0. The answer is (c0 + c1 + c2) / c0.","{'c0': 3.0, 'c1': 11.0, 'c2': 16.0}",-1,['Haley and her friends recycled a total of c0 + c1 + c2 pounds of paper'],0
357," A pet shelter had c0 puppies when another c1 were brought in. If c2 puppies a day are adopted, how long would it take for all of them to be adopted? ",9,"We need to find out how many puppies are left to be adopted after each day. Let's call the number of days it takes to adopt all the puppies ""d"". 

On the first day, c2 puppies are adopted, so there are c0 + c1 - c2 puppies left. 
On the second day, another c2 puppies are adopted, so there are c0 + c1 - 2c2 puppies left. 
This pattern continues until all the puppies are adopted, so: 

c0 + c1 - dc2 = 0 

We can solve for d: 

d = (c0 + c1) / c2 

So it would take (c0 + c1) / c2 days for all the puppies to be adopted.","{'c0': 17.0, 'c1': 55.0, 'c2': 8.0}",9,"['dc2 =  0 ', 'd =  (c0 + c1) / c2 ']",1
358," There school's baseball team had c0 new players and c1 returning players. If the coach put them into groups with c2 players in each group, how many groups would there be? ",7,"The total number of players on the team is c0 + c1. To find the number of groups, we need to divide the total number of players by the number of players in each group: 
number_of_groups = (c0 + c1) / c2
The answer is number_of_groups.","{'c0': 12.0, 'c1': 44.0, 'c2': 8.0}",7,"['number_of_groups =  (c0 + c1) / c2', 'answer = number_of_groups']",1
359," Frank had saved up c0 dollars. If he received another c1 dollars for his allowance, how many c2 dollar toys could he buy? ",5,"To find out how many c2 dollar toys Frank can buy, we need to divide the total amount of money he has by the cost of each toy. 
total_money = c0 + c1
number_of_toys = total_money / c2
The answer is number_of_toys.","{'c0': 3.0, 'c1': 37.0, 'c2': 8.0}",5,"['total_money =  c0 + c1', 'number_of_toys =  total_money / c2', 'answer = number_of_toys']",1
360," A pet shelter had c0 puppies when another c1 were brought in. If c2 puppies a day are adopted, how long would it take for all of them to be adopted? ",9,"The total number of puppies in the shelter after the new ones were brought in is c0 + c1. Let's call this number c_total. 
We want to know how many days it will take to adopt all the puppies, so we need to divide the total number of puppies by the number of puppies adopted per day: 
c_total / c2 = number of days 
The answer is the number of days it will take to adopt all the puppies.","{'c0': 8.0, 'c1': 19.0, 'c2': 3.0}",9,"['c2 =  number of days ', 'answer = the number of days it will take to adopt all the puppies']",1
361, For homework Faye had c0 math problems and c1 spelling problems. If she can finish c2 problems in an hour how long will it take her to finish all the problems? ,5,"Faye has c0 + c1 total problems to finish. If she can finish c2 problems in an hour, then it will take her (c0 + c1) / c2 hours to finish all the problems. 
The answer is (c0 + c1) / c2.","{'c0': 13.0, 'c1': 2.0, 'c2': 3.0}",5,['answer = (c0 + c1) / c2'],1
362," Sam had saved up c0 dollars. If he received another c1 dollars for his allowance, how many c2 dollar toys could he buy? ",5,"To find out how many c2 dollar toys Sam can buy, we need to divide the total amount of money he has by the cost of each toy. 
total_money = c0 + c1
number_of_toys = total_money / c2
The answer is number_of_toys.","{'c0': 8.0, 'c1': 7.0, 'c2': 3.0}",5,"['total_money =  c0 + c1', 'number_of_toys =  total_money / c2', 'answer = number_of_toys']",1
363," Bianca and her friends were recycling paper for their class. For every c0 pounds they recycled they earned one point. If Bianca recycled c1 pounds and her friends recycled c2 pounds, how many points did they earn? ",9,"Bianca and her friends recycled a total of c0 + c1 + c2 pounds of paper. For every c0 pounds, they earned one point. So the total number of points they earned is:
points = (c0 + c1 + c2) / c0
The answer is points.","{'c0': 3.0, 'c1': 24.0, 'c2': 3.0}",10,"['points =  (c0 + c1 + c2) / c0', 'answer = points']",0
364," There school's baseball team had c0 new players and c1 returning players. If the coach put them into groups with c2 players in each group, how many groups would there be? ",5,"The total number of players on the team is c0 + c1. To find the number of groups, we need to divide the total number of players by the number of players in each group: 
number_of_groups = (c0 + c1) / c2
The answer is number_of_groups.","{'c0': 31.0, 'c1': 4.0, 'c2': 7.0}",5,"['number_of_groups =  (c0 + c1) / c2', 'answer = number_of_groups']",1
365," Oliver was organizing his baseball cards in a binder with c0 on each page. If he had c1 new cards and c2 old cards to put in the binder, how many pages would he use? ",4,"Oliver has c1 new cards and c2 old cards, so he has a total of c1 + c2 cards. If each page can hold c0 cards, then he will need to use c1 + c2 divided by c0 pages. 
pages_used = (c1 + c2) / c0
The answer is pages_used.","{'c0': 3.0, 'c1': 2.0, 'c2': 10.0}",4,"['pages_used =  (c1 + c2) / c0', 'answer = pages_used']",1
366," Paul made c0 dollars mowing lawns and c1 dollars weed eating. If he only spent c2 dollar a week, how long would the money last him? ",2,"To find out how long the money will last, we need to add up the total amount of money Paul made and then divide by the amount he spends each week. 
total_money = c0 + c1
weeks = total_money / c2
The answer is weeks.","{'c0': 3.0, 'c1': 3.0, 'c2': 3.0}",2,"['total_money =  c0 + c1', 'weeks =  total_money / c2', 'answer = weeks']",1
367," Robin was making baggies of cookies with c0 cookies in each bag. If she had c1 chocolate chip cookies and c2 oatmeal cookies, how many baggies could she make? ",8,"To find out how many baggies Robin can make, we need to divide the total number of cookies by the number of cookies in each bag. 
total_cookies = c1 + c2
baggies = total_cookies / c0
The answer is baggies.","{'c0': 6.0, 'c1': 23.0, 'c2': 25.0}",8,"['total_cookies =  c1 + c2', 'baggies =  total_cookies / c0', 'answer = baggies']",1
368, The schools debate team had c0 boys and c1 girls on it. If they were split into groups of c2 how many groups could they make? ,5,"First, we need to find the total number of students on the debate team: 
total_students = c0 (boys) + c1 (girls)
Then, we can divide the total number of students by the number of students in each group to find the number of groups: 
num_groups = total_students / c2
The answer is num_groups.","{'c0': 5.0, 'c1': 40.0, 'c2': 9.0}",5,"['total_students =  c0 (boys) + c1 (girls)', 'num_groups =  total_students / c2', 'answer = num_groups']",1
369, At a company picnic c0 managers and c1 employees decided to start a game of volleyball. If they split into c2 teams how many people would be on each team? ,5,"To find out how many people would be on each team, we need to divide the total number of players by the number of teams. 
total_players = c0 + c1
players_per_team = total_players / c2
The answer is players_per_team.","{'c0': 23.0, 'c1': 7.0, 'c2': 6.0}",5,"['total_players =  c0 + c1', 'players_per_team =  total_players / c2', 'answer = players_per_team']",1
370," For a birthday party Cody bought c0 regular sodas and c1 diet sodas. If his fridge would only hold c2 on each shelf, how many shelves would he fill up? ",8,"Cody bought c0 + c1 sodas in total. To figure out how many shelves he would fill up, we need to divide the total number of sodas by the number of sodas that can fit on each shelf:
shelves = (c0 + c1) / c2
The answer is shelves.","{'c0': 4.0, 'c1': 44.0, 'c2': 6.0}",8,"['shelves =  (c0 + c1) / c2', 'answer = shelves']",1
371," Robin's class is going on a field trip to the zoo. If each van can hold c0 people and there are c1 students and c2 adults going, how many vans will they need? ",3,"To find out how many vans they need, we need to divide the total number of people going by the capacity of each van. 
total_people = c1 + c2
vans_needed = total_people / c0
The answer is vans_needed. Note that if the result is not a whole number, we need to round up to the nearest integer since we can't have a fraction of a van.","{'c0': 8.0, 'c1': 22.0, 'c2': 2.0}",3,"['total_people =  c1 + c2', 'vans_needed =  total_people / c0', 'answer = vans_needed']",1
372," Ned was helping the cafeteria workers pick up lunch trays, but he could only carry c0 trays at a time. If he had to pick up c1 trays from one table and c2 trays from another, how many trips will he make? ",2,"Ned can only carry c0 trays at a time, so he will need to make multiple trips to pick up all the trays. To figure out how many trips he needs to make, we can divide the total number of trays by the number of trays he can carry per trip and round up to the nearest whole number. 

total_trays = c1 + c2
trips = ceil(total_trays / c0)

The answer is trips.","{'c0': 5.0, 'c1': 5.0, 'c2': 5.0}",2,"['total_trays =  c1 + c2', 'trips =  ceil(total_trays / c0)', 'answer = trips']",1
373," There school's baseball team had c0 new players and c1 returning players. If the coach put them into groups with c2 players in each group, how many groups would there be? ",2,"The total number of players on the team is c0 + c1. To find the number of groups, we need to divide the total number of players by the number of players in each group: 
number_of_groups = (c0 + c1) / c2
The answer is number_of_groups.","{'c0': 2.0, 'c1': 6.0, 'c2': 4.0}",2,"['number_of_groups =  (c0 + c1) / c2', 'answer = number_of_groups']",1
374, For homework Amy had c0 math problems and c1 spelling problems. If she can finish c2 problems in an hour how long will it take her to finish all the problems? ,6,"Let's call the time it takes Amy to finish all the problems ""t"" (in hours). We know that she has c0 math problems and c1 spelling problems, so the total number of problems she has to do is c0 + c1. We also know that she can finish c2 problems in one hour. 

So, we can set up the equation: 

c0 + c1 = c2 * t 

We want to solve for ""t"", so we can rearrange the equation: 

t = (c0 + c1) / c2 

Therefore, it will take Amy (c0 + c1) / c2 hours to finish all the problems.","{'c0': 18.0, 'c1': 6.0, 'c2': 4.0}",6,"['c1 =  c2 * t ', 't =  (c0 + c1) / c2 ']",1
