,question,answer,response,tokens,logprobs,mapping,response_answer
311, A group of 4 friends went into a restaurant. The chef already had 9 chicken wings cooked but cooked 7 more for the group. If they each got the same amount how many would each person get? ,4.0," The chef had 9 chicken wings cooked. He cooked 7 more. So there were 9 + 7 = 16 chicken wings. If they each got the same amount, then each person would get 16 / 4 = 4 chicken wings.","[' The', ' chef', ' had', ' 9', ' chicken', ' wings', ' cooked', '.', ' He', ' cooked', ' 7', ' more', '.', ' So', ' there', ' were', ' 9', ' +', ' 7', ' =', ' 16', ' chicken', ' wings', '.', ' If', ' they', ' each', ' got', ' the', ' same', ' amount', ',', ' then', ' each', ' person', ' would', ' get', ' 16', ' /', ' 4', ' =', ' 4', ' chicken', ' wings', '.']","[-0.9467664, -0.24103178, -1.1145802, -0.014939875000000002, -0.16888659, -0.00028591757, -0.24651681, -0.38825038, -0.50352144, -0.30214703, -0.0002609945, -0.0005835929000000001, -0.79960525, -0.13989791000000001, -0.48148468, -0.4864898, -0.1836266, -0.0011095114, -9.606849e-06, -0.0014164473, -0.00029152130000000004, -0.26452374, -4.799487e-05, -0.38956717, -0.9873466, -1.1385636, -0.32049882, -0.008424283000000001, -0.0015763087, -0.0006493172, -0.022659488000000002, -0.008130035, -0.11115789400000001, -0.12014924, -0.09176911, -0.05684087, -0.039915454, -0.010063469, -0.03293407, -8.197403e-05, -0.009435886000000001, -0.00021622272999999997, -0.086763486, -0.00010927377, -0.04908416]",,4.0
312," A vase can hold 6 flowers. If you had 7 carnations and 47 roses, how many vases would you need to hold the flowers? ",9.0, You would need 8 vases.,"[' You', ' would', ' need', ' 8', ' v', 'ases', '.']","[-1.0404938, -0.16395123, -0.004711837500000001, -0.6902988, -0.0006755591, -6.6294405999999995e-06, -1.0930223]",,8.0
313," A pet shelter had 9 puppies when another 12 were brought in. If 3 puppies a day are adopted, how long would it take for all of them to be adopted? ",7.0, There were originally 9 puppies. Then 12 more were brought in. So there are 9 + 12 = 21 puppies. 3 puppies are adopted each day. So it would take 21 / 3 days for all of them to be adopted. 21 / 3 is 7. The answer is 7.,"[' There', ' were', ' originally', ' 9', ' puppies', '.', ' Then', ' 12', ' more', ' were', ' brought', ' in', '.', ' So', ' there', ' are', ' 9', ' +', ' 12', ' =', ' 21', ' puppies', '.', ' 3', ' puppies', ' are', ' adopted', ' each', ' day', '.', ' So', ' it', ' would', ' take', ' 21', ' /', ' 3', ' days', ' for', ' all', ' of', ' them', ' to', ' be', ' adopted', '.', ' 21', ' /', ' 3', ' is', ' 7', '.', ' The', ' answer', ' is', ' 7', '.']","[-1.2107383, -0.56544465, -0.23416685, -0.00015720222999999998, -0.0006976896499999999, -0.16774982, -0.9101083, -0.019369813, -0.046118144, -0.040461116000000005, -0.0029420180000000002, -0.011185891, -0.37285789999999996, -0.2542681, -0.8822987, -0.37593689999999996, -0.9490987, -0.0010086722, -9.723462400000001e-05, -0.005151323, -7.529741e-05, -0.0060864, -0.5622855999999999, -0.98212665, -0.14508006, -0.28227738, -0.0024761963, -0.12742506, -5.0778562999999996e-06, -0.0010004373, -0.10433193, -0.048758235000000004, -0.59678847, -0.0029644996, -0.014203297, -0.021246219, -2.462996e-05, -0.39802319999999997, -0.83804446, -0.18288699, -0.061540620000000004, -0.014591145000000002, -0.00018093038, -0.0024643065, -0.00038375972999999997, -0.0003193054, -0.30077872, -0.0007313909, -0.00025574747, -0.034745455, -0.0001507631, -0.0065716025, -0.018615024, -0.00021777152, -0.00013967574, -0.00027554266999999996, -0.019991565000000003]",,7.0
314," Roger was helping the cafeteria workers pick up lunch trays, but he could only carry 4 trays at a time. If he had to pick up 10 trays from one table and 2 trays from another, how many trips will he make? ",3.0," Roger can only carry 4 trays at a time. If he has to pick up 10 trays from one table and 2 trays from another, he will have to make 3 trips.","[' Roger', ' can', ' only', ' carry', ' 4', ' tr', 'ays', ' at', ' a', ' time', '.', ' If', ' he', ' has', ' to', ' pick', ' up', ' 10', ' tr', 'ays', ' from', ' one', ' table', ' and', ' 2', ' tr', 'ays', ' from', ' another', ',', ' he', ' will', ' have', ' to', ' make', ' 3', ' trips', '.']","[-0.30655489999999996, -0.4812975, -0.6607871, -0.0202029, -0.04282683, -0.010716215000000001, -1.5006569e-06, -0.16658494000000001, -0.043645766, -0.00023619534999999998, -0.47462583, -0.7254617, -0.040294047, -0.26406732, -0.00168013, -0.00013800588, -0.0012345903000000001, -7.100402e-05, -0.11384779, 0.0, -0.08253869400000001, -0.010124099999999999, -6.7069195e-05, -0.18322249000000002, -0.00037982491999999997, -0.2198157, -6.827631999999999e-08, -0.00020739941, -0.0019001075, -0.025429161000000002, -0.17803209, -0.056188256000000006, -0.5121783, -0.00043653257, -0.002765385, -0.13838503, -0.00018378950999999998, -0.20133513]",,3.0
315, A toy store had 4 giant stuffed bears in stock when they got another shipment with 10 bears in it. The put the bears onto shelves with 7 on each shelf. How many shelves did they use? ,2.0, The store had 4 bears originally. They got a shipment of 10 more. So they had 4 + 10 = 14 bears. 14 bears on shelves with 7 bears per shelf means that they needed 14 / 7 = 2 shelves. The answer is 2.,"[' The', ' store', ' had', ' 4', ' bears', ' originally', '.', ' They', ' got', ' a', ' shipment', ' of', ' 10', ' more', '.', ' So', ' they', ' had', ' 4', ' +', ' 10', ' =', ' 14', ' bears', '.', ' 14', ' bears', ' on', ' shelves', ' with', ' 7', ' bears', ' per', ' shelf', ' means', ' that', ' they', ' needed', ' 14', ' /', ' 7', ' =', ' 2', ' shelves', '.', ' The', ' answer', ' is', ' 2', '.']","[-1.2356272, -0.42427117000000003, -0.47959888, -0.020355448, -0.37194827, -1.2212108, -0.35334748, -0.30169785, -0.15453315, -0.41837219999999997, -0.0041850954, -0.30479032, -1.3185924000000001e-05, -0.15530534000000001, -0.23894587, -0.18225154000000002, -0.43553188, -0.17232026, -0.15822545, -0.009004622, -3.2616e-05, -0.0022244316, -0.0019130073, -0.17042829, -0.30181503, -0.53152066, -0.11511792, -0.53252405, -0.47290289999999996, -0.10409821600000001, -0.00028520045, -0.3941847, -0.33452606, -0.00017866448999999998, -0.38260636000000003, -0.15826322, -0.07053427, -0.7127424, -0.35439187, -0.08305656, -6.4921565e-05, -0.014732256, -0.001178016, -0.011466029, -0.014803573, -0.044712547000000005, -0.00041816695, -3.7863996000000004e-05, -0.0006593373000000001, -0.033967815000000005]",,2.0
316," John made 6 dollars mowing lawns and 18 dollars weed eating. If he only spent 3 dollar a week, how long would the money last him? ",8.0," John made 6 dollars mowing lawns and 18 dollars weed eating. If he spends 3 dollars a week, then he is making 21 dollars a week. 21 dollars a week will last him 3 weeks.","[' John', ' made', ' 6', ' dollars', ' m', 'owing', ' lawn', 's', ' and', ' 18', ' dollars', ' weed', ' eating', '.', ' If', ' he', ' spends', ' 3', ' dollars', ' a', ' week', ',', ' then', ' he', ' is', ' making', ' 21', ' dollars', ' a', ' week', '.', ' 21', ' dollars', ' a', ' week', ' will', ' last', ' him', ' 3', ' weeks', '.']","[-1.0624295, -0.35934332, -0.3106933, -0.14561839999999998, -0.004094539, -1.3823811999999999e-06, -0.0076215680000000004, -0.00022146792999999998, -0.0091146305, -5.8845668000000004e-05, -0.0010129693, -4.2988099999999996e-05, -0.00015434122, -0.10128693, -1.1819574, -0.01061916, -0.64598435, -0.0068660527, -0.026100207, -0.012147807, -1.8788729e-05, -0.0071480450000000004, -0.9157835, -0.16856794, -0.9861331600000001, -0.41470438, -0.5542556, -0.0009524713399999999, -0.018664395, -3.8217877e-05, -0.37674838, -0.068482466, -0.12493794400000001, -0.01008388, -0.0001902296, -0.10287496, -7.398424e-05, -0.02395496, -0.008943217, -0.00069208303, -0.007109203000000001]",,3.0
317, Wendy's old washing machine could only wash 8 pieces of clothing at a time. If she had to wash 39 shirts and 33 sweaters how many loads would she have to do? ,9.0, Wendy's old washing machine could only wash 8 pieces of clothing at a time. If she had to wash 39 shirts and 33 sweaters how many loads would she have to do? She would have to do 5 loads.,"[' Wendy', ""'s"", ' old', ' washing', ' machine', ' could', ' only', ' wash', ' 8', ' pieces', ' of', ' clothing', ' at', ' a', ' time', '.', ' If', ' she', ' had', ' to', ' wash', ' 39', ' shirts', ' and', ' 33', ' swe', 'aters', ' how', ' many', ' loads', ' would', ' she', ' have', ' to', ' do', '?', ' She', ' would', ' have', ' to', ' do', ' 5', ' loads', '.']","[-0.16960397, -0.9726039, -0.055362534000000005, -0.0046929764, -0.00010545908999999999, -0.15370373, -0.15919198, -0.006005322600000001, -0.00017973736, -0.0004268729, -0.031068994000000003, -0.00022600065999999998, -0.018119937000000003, -0.018294934000000002, -2.8921473000000004e-05, -0.015618446000000001, -0.6606803, -0.018110894000000002, -0.0031276566, -0.0034240857, -8.1136764e-05, -0.001144064, -9.759038e-05, -0.029914241, -7.553489000000001e-05, -0.00018963263, -1.1430257999999999e-06, -0.77673286, -1.6165199000000003e-05, -0.0006233729000000001, -0.0002372673, -0.0005388643, -0.0034570445, -0.0005578269000000001, -0.0008706172, -0.7274773, -1.0876607, -0.003340838, -0.027326835, -0.0021899645, -0.053577647000000006, -0.4995442, -0.0004225786, -0.053239062000000004]",,5.0
318," Debby's class is going on a field trip to the zoo. If each van can hold 4 people and there are 2 students and 6 adults going, how many vans will they need? ",2.0," Debby's class is going on a field trip to the zoo. If each van can hold 4 people and there are 2 students and 6 adults going, they will need 2 vans.","[' Deb', 'by', ""'s"", ' class', ' is', ' going', ' on', ' a', ' field', ' trip', ' to', ' the', ' zoo', '.', ' If', ' each', ' van', ' can', ' hold', ' 4', ' people', ' and', ' there', ' are', ' 2', ' students', ' and', ' 6', ' adults', ' going', ',', ' they', ' will', ' need', ' 2', ' vans', '.']","[-0.71040046, -0.0011805231, -0.016620578, -0.0005781046000000001, -0.24740519, -0.00068659574, -0.069710985, -0.0007547717499999999, -0.0039050158000000002, -0.00029986876, -0.08894008, -4.3108244e-05, -0.0003323639, -0.025603605, -0.8355257500000001, -0.0025541193, -9.130952e-06, -0.0042425585, -0.00015028718999999998, -0.0016592939000000001, -0.00021228698, -0.12243321500000001, -0.0011268173000000001, -0.00025252788, -0.0022973742, -0.000102002974, -0.00023667030999999998, -3.357061e-05, -6.9861335e-06, -3.881579e-05, -0.0033608135, -0.27719859999999996, -0.013833367000000001, -0.00013466803999999998, -0.21694404, -0.24827926, -0.009876844000000001]",,2.0
319," Isabel uploaded 2 pictures from her phone and 4 from her camera to facebook. If she sorted the pics into 3 different albums with the same amount of pics in each album, how many pictures were in each of the albums? ",2.0," Isabel uploaded 2 pictures from her phone and 4 from her camera. In total, she uploaded 2 + 4 = 6 pictures. If she sorted them into 3 albums with the same amount of pictures in each album, then each album would have 6 / 3 = 2 pictures. The answer is 2.","[' Isabel', ' uploaded', ' 2', ' pictures', ' from', ' her', ' phone', ' and', ' 4', ' from', ' her', ' camera', '.', ' In', ' total', ',', ' she', ' uploaded', ' 2', ' +', ' 4', ' =', ' 6', ' pictures', '.', ' If', ' she', ' sorted', ' them', ' into', ' 3', ' albums', ' with', ' the', ' same', ' amount', ' of', ' pictures', ' in', ' each', ' album', ',', ' then', ' each', ' album', ' would', ' have', ' 6', ' /', ' 3', ' =', ' 2', ' pictures', '.', ' The', ' answer', ' is', ' 2', '.']","[-1.1292862, -0.8748079999999999, -0.3514508, -0.12260745, -0.0006720992399999999, -0.00023905636, -3.9411840000000004e-05, -0.013993110500000001, -0.00037934902, -0.0633835, -3.5120327000000004e-05, -0.00016829051, -0.9034031, -1.073133, -0.00013788574, -0.3220126, -0.26209584, -0.6466182500000001, -0.16900232, -0.06775679, -2.7967804e-05, -0.0048278472, -0.00018343095, -0.015144934, -0.040719595000000004, -0.5533226, -0.01212132, -0.33899722, -0.24499767, -0.006227875000000001, -0.02144643, -0.6203331400000001, -0.48575115, -0.01612121, -8.1136764e-05, -0.67403495, -0.013234757000000002, -0.0056981775, -0.16205992, -0.00020441732, -0.115831345, -9.532728000000001e-05, -0.32284564, -0.08738482, -0.0016283673, -0.16120133, -0.056696847, -0.3584906, -0.13260019, -8.892534e-06, -0.014462994000000002, -0.000101643476, -0.0028191188, -0.44403365, -0.4662983, -0.0001173809, -0.0001011657, -1.9028084e-05, -0.02780566]",,2.0
320," While playing at the arcade, Frank won 33 tickets playing 'whack a mole' and 9 tickets playing 'skee ball'. If he was trying to buy candy that cost 6 tickets a piece, how many could he buy? ",7.0," Frank won 33 tickets playing 'whack a mole' and 9 tickets playing 'skee ball'. In total, he had 33 + 9 = 42 tickets. He could buy 42 / 6 = 7 pieces of candy.","[' Frank', ' won', ' 33', ' tickets', ' playing', "" '"", 'wh', 'ack', ' a', ' mole', ""'"", ' and', ' 9', ' tickets', ' playing', "" '"", 's', 'kee', ' ball', ""'."", ' In', ' total', ',', ' he', ' had', ' 33', ' +', ' 9', ' =', ' 42', ' tickets', '.', ' He', ' could', ' buy', ' 42', ' /', ' 6', ' =', ' 7', ' pieces', ' of', ' candy', '.']","[-0.41936034, -0.5402675, -0.46250215, -0.09500508, -0.07887471, -0.02632599, -0.0006742478, -6.2699432e-06, -0.0026205708000000003, -4.835342800000001e-05, -0.056344546, -0.0013643400000000001, -0.00011726355999999999, -0.06179579, -2.2006430000000002e-05, -0.0011983678000000002, -2.9519388e-05, -0.00073460775, -5.0856816e-05, -0.04921001, -1.0013845, -0.00064037094, -0.23906599, -0.032726496, -0.92488945, -0.009395028000000001, -0.0474847, -0.0002574192, -0.005306811000000001, -0.00072638044, -0.003419126, -0.00024811528, -1.2901069, -0.6076558, -0.05152577, -0.09305909999999999, -0.19490646, -0.00024668477, -0.0044859126, -0.008795523000000001, -0.15114728, -0.0003116732, -7.854046699999999e-07, -0.006443816000000001]",,7.0
321," Mike made 14 dollars mowing lawns and 26 dollars weed eating. If he only spent 5 dollar a week, how long would the money last him? ",8.0," Mike made a total of 14 + 26 = 40 dollars. If he spends 5 dollars a week, it will last him 40 / 5 = 8 weeks. The answer is 8.","[' Mike', ' made', ' a', ' total', ' of', ' 14', ' +', ' 26', ' =', ' 40', ' dollars', '.', ' If', ' he', ' spends', ' 5', ' dollars', ' a', ' week', ',', ' it', ' will', ' last', ' him', ' 40', ' /', ' 5', ' =', ' 8', ' weeks', '.', ' The', ' answer', ' is', ' 8', '.']","[-1.1895442, -0.29094055, -0.19549064, -0.00019225522, -6.2299914e-05, -0.5679031, -0.25746983, -1.3661821000000001e-05, -0.0020080258, -0.00063524215, -2.0575926000000002e-05, -0.0020902685, -0.6144558, -0.0023376392, -0.0077473433, -6.182308e-05, -0.0007228014, -0.09199766, -2.582111e-05, -0.0016502180000000002, -0.67284834, -0.30054545, -0.3180958, -0.101768486, -0.06455965, -0.040766403, -1.0920954000000002e-05, -0.11545016, -4.5494293e-05, -2.462996e-05, -2.3795494000000003e-05, -0.5694696300000001, -0.0003311108, -1.1430257999999999e-06, -0.00011797881599999999, -0.25650397]",,8.0
322," Gwen and her friends were recycling paper for their class. For every 3 pounds they recycled they earned one point. If Gwen recycled 5 pounds and her friends recycled 13 pounds, how many points did they earn? ",6.0," Gwen recycled 5 pounds and her friends recycled 13 pounds. So they recycled a total of 5 + 13 = 18 pounds. For every 3 pounds they recycled, they earned one point. So they earned 18 / 3 = 6 points.","[' G', 'wen', ' recycled', ' 5', ' pounds', ' and', ' her', ' friends', ' recycled', ' 13', ' pounds', '.', ' So', ' they', ' recycled', ' a', ' total', ' of', ' 5', ' +', ' 13', ' =', ' 18', ' pounds', '.', ' For', ' every', ' 3', ' pounds', ' they', ' recycled', ',', ' they', ' earned', ' one', ' point', '.', ' So', ' they', ' earned', ' 18', ' /', ' 3', ' =', ' 6', ' points', '.']","[-0.8005709999999999, -4.048565e-05, -0.61641985, -0.017345838000000002, -0.0029413027, -0.45248829999999995, -0.006312926000000001, -0.0025973825000000002, -0.0009336777000000001, -4.7639110000000003e-05, -0.0009823599, -0.33591289999999996, -1.2547177, -0.3313758, -0.22884423, -0.55692154, -0.0005068385, -5.669991e-05, -0.11758567, -0.050269652000000005, -5.9085025e-05, -0.021309663000000003, -8.411697500000001e-05, -0.006576883, -0.02178385, -0.54090005, -0.0015834725, -0.0032547824, -0.0009747258, -0.25496373, -0.11242526, -0.682894, -5.252573500000001e-05, -0.042400885, -0.55960727, -4.6325007e-05, -0.0036589904, -0.09111409000000001, -0.10007436, -0.14196596, -0.0042494424, -0.082090646, -0.00011952760000000001, -0.046888042000000005, -0.00069208303, -0.025927508000000002, -0.09127838]",,6.0
323," Robin uploaded 31 pictures from her phone and 5 from her camera to facebook. If she sorted the pics into 9 different albums with the same amount of pics in each album, how many pictures were in each of the albums? ",4.0, 31 + 5 = 36. 36 / 9 = 4. The answer is 4.,"[' 31', ' +', ' 5', ' =', ' 36', '.', ' 36', ' /', ' 9', ' =', ' 4', '.', ' The', ' answer', ' is', ' 4', '.']","[-1.3452828000000001, -0.16027914000000001, -0.00020084012, -0.019465106000000003, -0.0024573153, -0.26765156, -0.3225258, -0.48407397, -8.244993e-05, -0.09482917, -0.0014304152, -0.004157564, -0.7713196, -0.0005789419, -0.0001351458, -0.00037982491999999997, -0.015263609000000001]",,4.0
324," For Halloween Megan received 11 pieces of candy from neighbors and 5 pieces from her older sister. If she only ate 8 pieces a day, how long would the candy last her? ",2.0," Megan received 11 pieces of candy from neighbors and 5 pieces from her older sister. In total she has 11 + 5 = 16 pieces of candy. If she eats 8 pieces a day, it will last her 16 / 8 = 2 days. The answer is 2 days.","[' Megan', ' received', ' 11', ' pieces', ' of', ' candy', ' from', ' neighbors', ' and', ' 5', ' pieces', ' from', ' her', ' older', ' sister', '.', ' In', ' total', ' she', ' has', ' 11', ' +', ' 5', ' =', ' 16', ' pieces', ' of', ' candy', '.', ' If', ' she', ' eats', ' 8', ' pieces', ' a', ' day', ',', ' it', ' will', ' last', ' her', ' 16', ' /', ' 8', ' =', ' 2', ' days', '.', ' The', ' answer', ' is', ' 2', ' days', '.']","[-0.6792688, -0.5279469, -0.16608536000000002, -0.09203825, -0.13593093, -1.8601541999999999e-06, -0.009662929, -0.013120248000000001, -0.007215824, -0.0005304540000000001, -0.018159391, -0.004602433600000001, -0.0021195365, -0.20964152, -9.687513e-05, -0.04496776, -0.9681284, -0.00024704146, -0.015329156000000002, -0.6125058, -0.24749708, -0.051012423, -7.6605895e-05, -0.004387007, -0.0027769199, -0.013042163, -0.014325487000000001, -7.854046699999999e-07, -1.0800813e-05, -0.6700967999999999, -0.0041415836, -0.8521346999999999, -4.2631407000000006e-05, -0.005203868, -0.05152803, -1.5006569e-06, -2.0815281000000002e-05, -0.7554094, -0.08128964, -0.5158134999999999, -0.081492454, -0.08231455, -0.25156677, -3.7684315e-06, -0.0009550958, -0.0005834736499999999, -2.1171965e-05, -1.4497215500000001e-05, -0.24370794, -0.0008552863, -3.076318e-07, -0.00054208294, -0.5129577, -8.5429216e-05]",,2.0
325," Maria was making baggies of cookies with 5 cookies in each bag. If she had 33 chocolate chip cookies and 2 oatmeal cookies, how many baggies could she make? ",7.0," Maria had 33 chocolate chip cookies and 2 oatmeal cookies. In each bag, she had 5 cookies. So she could make 33 / 5 = 6.6 baggies of chocolate chip cookies. For the oatmeal cookies, she could make 2 / 5 = 0.4 baggies. In total, she could make 6.6 + 0.4 = 7 baggies.","[' Maria', ' had', ' 33', ' chocolate', ' chip', ' cookies', ' and', ' 2', ' o', 'atmeal', ' cookies', '.', ' In', ' each', ' bag', ',', ' she', ' had', ' 5', ' cookies', '.', ' So', ' she', ' could', ' make', ' 33', ' /', ' 5', ' =', ' 6', '.', '6', ' bag', 'g', 'ies', ' of', ' chocolate', ' chip', ' cookies', '.', ' For', ' the', ' o', 'atmeal', ' cookies', ',', ' she', ' could', ' make', ' 2', ' /', ' 5', ' =', ' 0', '.', '4', ' bag', 'g', 'ies', '.', ' In', ' total', ',', ' she', ' could', ' make', ' 6', '.', '6', ' +', ' 0', '.', '4', ' =', ' 7', ' bag', 'g', 'ies', '.']","[-0.49361604000000003, -0.7144403500000001, -0.05101343, -0.010692417000000001, -0.006347957, -0.00023440627999999998, -0.077810116, -0.00013562171, -0.00033570455999999997, -8.296486e-06, -0.0001758016, -0.05529147, -0.5835193, -0.66808033, -0.00015755986, -0.5474629999999999, -0.12077304, -1.5130781, -0.0002519309, -0.0035913915, -0.00045847730000000004, -0.28334576, -0.056209880000000004, -0.06486698, -0.011788339, -0.26829149999999996, -0.53052896, -6.242005500000001e-05, -0.09189351, -0.0042824843, -0.5609875, -0.0077162287, -0.6101675999999999, -0.000636912, -6.031526e-06, -0.066574305, -0.045702215000000004, -0.00026969958, -5.8367895999999996e-05, -0.10091533, -0.32363594, -0.024931183000000003, -0.016899696000000002, -1.8841804e-07, -0.00021693892999999999, -1.2828294e-05, -0.050710384000000004, -0.0023203157, -5.037998e-05, -2.1889093000000004e-05, -0.0003707613, -8.7457636e-05, -0.0017447337, -0.037010204000000005, -9.846204e-06, -6.661909399999999e-07, -0.0011306357, -0.0019904647, -4.2433903e-06, -0.03502585, -0.7705788, -7.803827600000001e-05, -0.047612462, -0.000117858675, -0.0013716221000000001, -1.5805701000000003e-05, -0.0003626532, -0.0024090377, -1.9741461e-05, -0.00012775393, -0.00019249456999999998, -1.8073477000000003e-05, -6.6294405999999995e-06, -0.00091434905, -0.00065635337, -0.00807944, -1.9621319e-05, -2.0966954e-06, -0.17006443000000002]",,7.0
326," There school's baseball team had 4 new players and 6 returning players. If the coach put them into groups with 5 players in each group, how many groups would there be? ",2.0," There would be 9 players in total. 9 divided by 5 is 1.8, which means that there would be 2 groups.","[' There', ' would', ' be', ' 9', ' players', ' in', ' total', '.', ' 9', ' divided', ' by', ' 5', ' is', ' 1', '.', '8', ',', ' which', ' means', ' that', ' there', ' would', ' be', ' 2', ' groups', '.']","[-0.71827096, -0.75004774, -0.029664993, -0.6702300000000001, -0.5322439999999999, -0.39072168, -0.014137943, -0.16477369, -0.51022893, -0.26955143, -0.024331765, -1.3823811999999999e-06, -0.102923386, -0.0007638983, -0.036165345, -8.483411000000002e-05, -0.20743535, -0.16193978, -0.05484407400000001, -0.63127697, -0.03208639, -0.00023929570999999997, -0.003561063, -0.005336951, -0.0027433892000000002, -0.004549741]",,2.0
327," A pet shelter had 5 puppies when another 35 were brought in. If 8 puppies a day are adopted, how long would it take for all of them to be adopted? ",5.0, There were originally 5 puppies. Then 35 more were brought in. So in total there were 40 puppies. 8 puppies are adopted each day. So it would take 40 / 8 = 5 days for all of them to be adopted. The answer is 5.,"[' There', ' were', ' originally', ' 5', ' puppies', '.', ' Then', ' 35', ' more', ' were', ' brought', ' in', '.', ' So', ' in', ' total', ' there', ' were', ' 40', ' puppies', '.', ' 8', ' puppies', ' are', ' adopted', ' each', ' day', '.', ' So', ' it', ' would', ' take', ' 40', ' /', ' 8', ' =', ' 5', ' days', ' for', ' all', ' of', ' them', ' to', ' be', ' adopted', '.', ' The', ' answer', ' is', ' 5', '.']","[-1.1114026, -0.48099688, -0.2646164, -0.018745225, -0.0047643036, -0.32952145, -0.3460895, -0.04591618, -0.06505773000000001, -0.048346890000000003, -0.0016880711, -0.012885833000000001, -0.5152217, -0.36947966, -0.95092535, -1.4854846000000001e-05, -0.1651904, -0.5115099, -0.7555119, -0.010964462500000001, -0.00045931175999999995, -0.3820165, -0.07557524, -0.37149483, -0.010870337, -0.14671209999999998, -6.1516675e-06, -7.9946556e-05, -0.17871901, -0.06143007, -0.5096712999999999, -0.0012977934000000001, -0.05623504, -0.015576793, -3.883893e-06, -0.34107699999999996, -0.00038065935999999996, -0.00016006512, -0.34321728, -0.3613725, -0.05400278, -0.010441886000000001, -0.00017818764999999998, -0.0037671572, -0.00031715777, -0.0005960573, -0.5994674, -0.00019344824, -5.2765092e-05, -0.00023535996, -0.023666548000000003]",,5.0
328," Nancy's class is going on a field trip to the zoo. If each van can hold 5 people and there are 12 students and 3 adults going, how many vans will they need? ",3.0," Nancy's class is going on a field trip to the zoo. If each van can hold 5 people and there are 12 students and 3 adults going, they will need 12/5 + 3/5 vans. They will need 3 vans.","[' Nancy', ""'s"", ' class', ' is', ' going', ' on', ' a', ' field', ' trip', ' to', ' the', ' zoo', '.', ' If', ' each', ' van', ' can', ' hold', ' 5', ' people', ' and', ' there', ' are', ' 12', ' students', ' and', ' 3', ' adults', ' going', ',', ' they', ' will', ' need', ' 12', '/', '5', ' +', ' 3', '/', '5', ' vans', '.', ' They', ' will', ' need', ' 3', ' vans', '.']","[-0.8076505700000001, -0.005250605, -0.00093994226, -0.12015360600000001, -0.00035239846, -0.05446717500000001, -0.0002454927, -0.0020317333, -0.00016757715, -0.08278523, -1.9621319e-05, -0.00033051384, -0.008920541, -0.56673366, -0.00087682175, -1.8430170000000003e-05, -0.0022250277, -8.5549356e-05, -6.146545e-05, -0.0009228193699999999, -0.11021445, -0.00044547605999999997, -0.00019058722999999999, -0.00026373632, -7.493791e-05, -0.0015194152000000002, -4.2870764000000005e-05, -2.4032974e-05, -1.1991961000000001e-05, -0.0025042836, -0.17114644, -0.0057925973000000006, -0.00015457775999999998, -0.9881042, -0.24911797, -1.7400123999999997e-06, -0.71870226, -0.0010452494, -0.00011118111, -1.7400123999999997e-06, -0.070029035, -0.020829126, -0.45577857, -0.011840997, -0.0035939033, -0.02641968, -0.00019857421, -0.3407579]",,3.0
